GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,AA1001,AA3001,AA4001,AA7001,AA7002
"G3701590","1810","North Carolina","370","Rowan","1590","Rowan","47","1590",21543,21543,0,89,3757
"G3701610","1810","North Carolina","370","Rutherford","1610","Rutherford","47","1610",13202,13202,0,39,979
"G3701630","1810","North Carolina","370","Sampson","1630","Sampson","47","1630",6620,6620,0,9,2049
"G3701690","1810","North Carolina","370","Stokes","1690","Stokes","47","1690",11645,11645,0,122,1746
"G3701710","1810","North Carolina","370","Surry","1710","Surry","47","1710",10366,10366,0,84,1469
"G3701770","1810","North Carolina","370","Tyrrell","1770","Tyrrell","47","1770",3364,3364,0,34,910
"G3701830","1810","North Carolina","370","Wake","1830","Wake","47","1830",17086,17086,0,519,5878
"G3701850","1810","North Carolina","370","Warren","1850","Warren","47","1850",11004,11004,0,231,6282
"G3701870","1810","North Carolina","370","Washington","1870","Washington","47","1870",3464,3464,0,63,1287
"G3701910","1810","North Carolina","370","Wayne","1910","Wayne","47","1910",8687,8687,0,111,2756
"G3701930","1810","North Carolina","370","Wilkes","1930","Wilkes","47","1930",9054,9054,0,88,1194
"G3900010","1810","Ohio","390","Adams","0010","Adams","24","10",9434,9434,0,21,0
"G3900090","1810","Ohio","390","Athens","0090","Athens","24","90",2791,2791,0,4,0
"G3900130","1810","Ohio","390","Belmont","0130","Belmont","24","130",11097,11097,0,88,0
"G3900170","1810","Ohio","390","Butler","0170","Butler","24","170",11150,11150,0,79,0
"G3900210","1810","Ohio","390","Champaign","0210","Champaign","24","210",6303,6303,0,65,0
"G3900250","1810","Ohio","390","Clermont","0250","Clermont","24","250",9965,9965,0,37,0
"G3900270","1810","Ohio","390","Clinton","0270","Clinton","24","270",2674,2674,0,9,0
"G3900290","1810","Ohio","390","Columbiana","0290","Columbiana","24","290",10878,10878,0,99,0
"G3900350","1810","Ohio","390","Cuyahoga","0350","Cuyahoga","24","350",1459,1459,0,14,0
"G3900410","1810","Ohio","390","Delaware","0410","Delaware","24","410",2000,2000,0,44,0
"G3900450","1810","Ohio","390","Fairfield","0450","Fairfield","24","450",11361,11361,0,35,0
"G3900470","1810","Ohio","390","Fayette","0470","Fayette","24","470",1854,1854,0,4,0
"G3900490","1810","Ohio","390","Franklin","0490","Franklin","24","490",3486,3486,0,43,0
"G3900530","1810","Ohio","390","Gallia","0530","Gallia","24","530",4181,4181,0,15,0
"G3900550","1810","Ohio","390","Geauga","0550","Geauga","24","550",2917,2917,0,3,0
"G3900570","1810","Ohio","390","Greene","0570","Greene","24","570",5870,5870,0,36,0
"G3900590","1810","Ohio","390","Guernsey","0590","Guernsey","24","590",3051,3051,0,7,0
"G3900610","1810","Ohio","390","Hamilton","0610","Hamilton","24","610",15258,15258,2540,158,0
"G3900710","1810","Ohio","390","Highland","0710","Highland","24","710",5766,5766,0,126,0
"G3900810","1810","Ohio","390","Jefferson","0810","Jefferson","24","810",17260,17260,0,124,0
"G3900830","1810","Ohio","390","Knox","0830","Knox","24","830",2149,2149,0,12,0
"G3900890","1810","Ohio","390","Licking","0890","Licking","24","890",3852,3852,0,8,0
"G3900970","1810","Ohio","390","Madison","0970","Madison","24","970",1603,1603,0,13,0
"G3901090","1810","Ohio","390","Miami","1090","Miami","24","1090",3941,3941,0,21,0
"G3901130","1810","Ohio","390","Montgomery","1130","Montgomery","24","1130",7722,7722,0,54,0
"G3901190","1810","Ohio","390","Muskingum","1190","Muskingum","24","1190",10036,10036,0,75,0
"G3901290","1810","Ohio","390","Pickaway","1290","Pickaway","24","1290",7124,7124,0,69,0
"G3901330","1810","Ohio","390","Portage","1330","Portage","24","1330",2995,2995,0,7,0
"G3901350","1810","Ohio","390","Preble","1350","Preble","24","1350",3304,3304,0,25,0
"G3901410","1810","Ohio","390","Ross","1410","Ross","24","1410",15514,15514,0,370,0
"G3901450","1810","Ohio","390","Scioto","1450","Scioto","24","1450",3399,3399,0,29,0
"G3901510","1810","Ohio","390","Stark","1510","Stark","24","1510",2734,2734,0,7,0
"G3901550","1810","Ohio","390","Trumbull","1550","Trumbull","24","1550",8671,8671,0,55,0
"G3901570","1810","Ohio","390","Tuscarawas","1570","Tuscarawas","24","1570",3045,3045,0,6,0
"G3901650","1810","Ohio","390","Warren","1650","Warren","24","1650",9925,9925,0,89,0
"G3901670","1810","Ohio","390","Washington","1670","Washington","24","1670",5991,5991,0,48,0
"G4170015","1810","Orleans Territory","417","Ascension","0015","Ascension","45","50",2219,2219,0,47,1031
"G4170035","1810","Orleans Territory","417","Assumption","0035","Assumption","45","70",2472,2472,0,10,547
"G4170055","1810","Orleans Territory","417","Attakapas","0055","Attakapas","45","990",7369,7369,0,278,3132
"G4170075","1810","Orleans Territory","417","Avoyelles","0075","Avoyelles","45","90",1209,1209,0,22,404
"G4170095","1810","Orleans Territory","417","Catahoula","0095","Catahoula","45","250",1164,1164,0,8,348
"G4170115","1810","Orleans Territory","417","Concordia","0115","Concordia","45","290",2895,2895,0,35,1581
"G4170135","1810","Orleans Territory","417","Iberville","0135","Iberville","45","470",2679,2679,0,45,1205
"G4170155","1810","Orleans Territory","417","Lafourche","0155","Lafourche","45","570",1995,1995,0,15,289
"G4170175","1810","Orleans Territory","417","Natchitoches","0175","Natchitoches","45","690",2870,2870,0,181,1476
"G4170195","1810","Orleans Territory","417","Opelousas","0195","Opelousas","45","970",5048,5048,0,389,1670
"G4170215","1810","Orleans Territory","417","Orleans","0215","Orleans","45","710",24552,24552,17242,5727,10824
"G4170235","1810","Orleans Territory","417","Ouachitta","0235","Ouachitta","45","730",1077,1077,0,9,284
"G4170255","1810","Orleans Territory","417","Plaquemines","0255","Plaquemines","45","750",1549,1549,0,239,753
"G4170275","1810","Orleans Territory","417","Pointe Coupee","0275","Pointe Coupee","45","770",4539,4539,0,104,3187
"G4170295","1810","Orleans Territory","417","Rapides","0295","Rapides","45","790",2200,2200,0,123,1081
"G4170315","1810","Orleans Territory","417","St Bernard","0315","St Bernard","45","870",1020,1020,0,10,382
"G4170335","1810","Orleans Territory","417","St Charles","0335","St Charles","45","890",3291,3291,0,150,2321
"G4170355","1810","Orleans Territory","417","St James","0355","St James","45","930",3955,3955,0,41,1952
"G4170375","1810","Orleans Territory","417","St John Baptiste","0375","St John Baptiste","45","950",2990,2990,0,70,1518
"G4170395","1810","Orleans Territory","417","West Baton Rouge","0395","West Baton Rouge","45","1210",1463,1463,0,82,675
"G4200010","1810","Pennsylvania","420","Adams","0010","Adams","14","10",15152,15152,0,338,71
"G4200030","1810","Pennsylvania","420","Allegheny","0030","Allegheny","14","30",25317,25317,4768,414,24
"G4200050","1810","Pennsylvania","420","Armstrong","0050","Armstrong","14","50",6143,6143,0,4,0
"G4200070","1810","Pennsylvania","420","Beaver","0070","Beaver","14","70",12168,12168,0,75,8
"G4200090","1810","Pennsylvania","420","Bedford","0090","Bedford","14","90",15746,15746,0,120,1
"G4200110","1810","Pennsylvania","420","Berks","0110","Berks","14","110",43146,43146,3462,524,4
"G4200170","1810","Pennsylvania","420","Bucks","0170","Bucks","14","170",32371,32371,0,983,11
"G4200190","1810","Pennsylvania","420","Butler","0190","Butler","14","190",7346,7346,0,10,0
"G4200210","1810","Pennsylvania","420","Cambria","0210","Cambria","14","210",2117,2117,0,33,6
"G4200270","1810","Pennsylvania","420","Centre","0270","Centre","14","270",10681,10681,0,114,1
"G4200290","1810","Pennsylvania","420","Chester","0290","Chester","14","290",39596,39596,0,1814,7
"G4200330","1810","Pennsylvania","420","Clearfield","0330","Clearfield","14","330",875,875,0,35,0
"G4200390","1810","Pennsylvania","420","Crawford","0390","Crawford","14","390",6178,6178,0,20,2
"G4200410","1810","Pennsylvania","420","Cumberland","0410","Cumberland","14","410",26757,26757,0,265,307
"G4200430","1810","Pennsylvania","420","Dauphin","0430","Dauphin","14","430",31883,31883,0,253,26
"G4200450","1810","Pennsylvania","420","Delaware","0450","Delaware","14","450",14734,14734,0,822,0
"G4200490","1810","Pennsylvania","420","Erie","0490","Erie","14","490",3758,3758,0,31,18
"G4200510","1810","Pennsylvania","420","Fayette","0510","Fayette","14","510",24714,24714,0,590,58
"G4200550","1810","Pennsylvania","420","Franklin","0550","Franklin","14","550",23083,23083,0,924,87
"G4200590","1810","Pennsylvania","420","Greene","0590","Greene","14","590",12544,12544,0,72,10
"G4200610","1810","Pennsylvania","420","Huntingdon","0610","Huntingdon","14","610",14778,14778,0,110,0
"G4200630","1810","Pennsylvania","420","Indiana","0630","Indiana","14","630",6214,6214,0,14,0
"G4200650","1810","Pennsylvania","420","Jefferson","0650","Jefferson","14","650",161,161,0,1,0
"G4200710","1810","Pennsylvania","420","Lancaster","0710","Lancaster","14","710",53927,53927,5405,1557,44
"G4200790","1810","Pennsylvania","420","Luzerne","0790","Luzerne","14","790",18109,18109,0,99,0
"G4200810","1810","Pennsylvania","420","Lycoming","0810","Lycoming","14","810",11006,11006,0,64,2
"G4200830","1810","Pennsylvania","420","McKean","0830","Mckean","14","830",142,142,0,0,1
"G4200850","1810","Pennsylvania","420","Mercer","0850","Mercer","14","850",8277,8277,0,44,3
"G4200870","1810","Pennsylvania","420","Mifflin","0870","Mifflin","14","870",12132,12132,0,107,9
"G4200910","1810","Pennsylvania","420","Montgomery","0910","Montgomery","14","910",29703,29703,0,671,3
"G4200950","1810","Pennsylvania","420","Northampton","0950","Northampton","14","950",38145,38145,0,189,0
"G4200970","1810","Pennsylvania","420","Northumberland","0970","Northumberland","14","970",36327,36327,0,194,3
"G4201010","1810","Pennsylvania","420","Philadelphia","1010","Philadelphia","14","1010",111210,111210,87303,10514,8
"G4201050","1810","Pennsylvania","420","Potter","1050","Potter","14","1050",29,29,0,1,0
"G4201110","1810","Pennsylvania","420","Somerset","1110","Somerset","14","1110",11284,11284,0,14,0
"G4201170","1810","Pennsylvania","420","Tioga","1170","Tioga","14","1170",1687,1687,0,0,0
"G4201210","1810","Pennsylvania","420","Venango","1210","Venango","14","1210",3060,3060,0,6,0
"G4201230","1810","Pennsylvania","420","Warren","1230","Warren","14","1230",827,827,0,0,0
"G4201250","1810","Pennsylvania","420","Washington","1250","Washington","14","1250",36289,36289,0,570,36
"G4201270","1810","Pennsylvania","420","Wayne","1270","Wayne","14","1270",4125,4125,0,44,3
"G4201290","1810","Pennsylvania","420","Westmoreland","1290","Westmoreland","14","1290",26392,26392,0,245,20
"G4201330","1810","Pennsylvania","420","York","1330","York","14","1330",31958,31958,2847,607,22
"G4400010","1810","Rhode Island","440","Bristol","0010","Bristol","5","10",5072,5072,0,221,37
"G4400030","1810","Rhode Island","440","Kent","0030","Kent","5","30",9834,9834,0,354,4
"G4400050","1810","Rhode Island","440","Newport","0050","Newport","5","50",16294,16294,7907,904,44
"G4400070","1810","Rhode Island","440","Providence","0070","Providence","5","70",30869,30769,10071,1263,13
"G4400090","1810","Rhode Island","440","Washington","0090","Washington","5","90",14962,14962,0,867,10
"G4500010","1810","South Carolina","450","Abbeville","0010","Abbeville","48","10",21156,21156,0,88,6672
"G4500110","1810","South Carolina","450","Barnwell","0110","Barnwell","48","110",12280,12280,0,158,4153
"G4500130","1810","South Carolina","450","Beaufort","0130","Beaufort","48","130",25887,25887,0,181,20914
"G4500190","1810","South Carolina","450","Charleston","0190","Charleston","48","190",63179,63179,24711,1783,45385
"G4500230","1810","South Carolina","450","Chester","0230","Chester","48","230",11479,11479,0,14,2743
"G4500250","1810","South Carolina","450","Chesterfield","0250","Chesterfield","48","250",5564,5564,0,58,1639
"G4500290","1810","South Carolina","450","Colleton","0290","Colleton","48","290",26359,26359,0,211,21858
"G4500310","1810","South Carolina","450","Darlington","0310","Darlington","48","310",9047,9047,0,57,2731
"G4500370","1810","South Carolina","450","Edgefield","0370","Edgefield","48","370",23160,23160,0,151,8576
"G4500390","1810","South Carolina","450","Fairfield","0390","Fairfield","48","390",11857,11857,0,37,4034
"G4500430","1810","South Carolina","450","Georgetown","0430","Georgetown","48","430",15679,15679,0,102,13867
"G4500450","1810","South Carolina","450","Greenville","0450","Greenville","48","450",13133,13133,0,41,2353
"G4500510","1810","South Carolina","450","Horry","0510","Horry","48","510",4349,4349,0,18,1398
"G4500550","1810","South Carolina","450","Kershaw","0550","Kershaw","48","550",9867,9867,0,78,4847
"G4500570","1810","South Carolina","450","Lancaster","0570","Lancaster","48","570",6318,6318,0,372,1646
"G4500590","1810","South Carolina","450","Laurens","0590","Laurens","48","590",14982,14982,0,29,3308
"G4500630","1810","South Carolina","450","Lexington","0630","Lexington","48","630",6641,6641,0,17,1911
"G4500670","1810","South Carolina","450","Marion","0670","Marion","48","670",8884,8884,0,94,2771
"G4500690","1810","South Carolina","450","Marlboro","0690","Marlboro","48","690",4966,4966,0,84,1709
"G4500710","1810","South Carolina","450","Newberry","0710","Newberry","48","710",13964,13964,0,110,4006
"G4500750","1810","South Carolina","450","Orangeburg","0750","Orangeburg","48","750",13229,13229,0,26,6564
"G4500755","1810","South Carolina","450","Pendleton","0755","Pendleton","48","755",22897,22897,0,48,3485
"G4500790","1810","South Carolina","450","Richland","0790","Richland","48","790",9027,9027,0,321,5238
"G4500830","1810","South Carolina","450","Spartanburg","0830","Spartanburg","48","830",14259,14259,0,33,2391
"G4500850","1810","South Carolina","450","Sumter","0850","Sumter","48","850",19054,19054,0,288,11638
"G4500870","1810","South Carolina","450","Union","0870","Union","48","870",10995,10995,0,68,2846
"G4500890","1810","South Carolina","450","Williamsburg","0890","Williamsburg","48","890",6871,6871,0,47,4518
"G4500910","1810","South Carolina","450","York","0910","York","48","910",10032,10032,0,40,3164
"G4700010","1810","Tennessee","470","Anderson","0010","Anderson","54","10",3959,3959,0,5,260
"G4700030","1810","Tennessee","470","Bedford","0030","Bedford","54","30",8242,8242,0,5,1180
"G4700070","1810","Tennessee","470","Bledsoe","0070","Bledsoe","54","70",3259,3259,0,3,206
"G4700090","1810","Tennessee","470","Blount","0090","Blount","54","90",8839,8839,0,26,805
"G4700130","1810","Tennessee","470","Campbell","0130","Campbell","54","130",2668,2668,0,58,103
"G4700190","1810","Tennessee","470","Carter","0190","Carter","54","190",4190,4190,0,0,262
"G4700250","1810","Tennessee","470","Claiborne","0250","Claiborne","54","250",4798,4798,0,35,327
"G4700290","1810","Tennessee","470","Cocke","0290","Cocke","54","290",5154,5154,0,16,436
"G4700370","1810","Tennessee","470","Davidson","0370","Davidson","54","370",15608,15608,0,130,6305
"G4700430","1810","Tennessee","470","Dickson","0430","Dickson","54","430",4516,4516,0,0,980
"G4700510","1810","Tennessee","470","Franklin","0510","Franklin","54","510",5730,5730,0,1,709
"G4700550","1810","Tennessee","470","Giles","0550","Giles","54","550",4546,4546,0,0,733
"G4700570","1810","Tennessee","470","Grainger","0570","Grainger","54","570",6397,6397,0,182,537
"G4700590","1810","Tennessee","470","Greene","0590","Greene","54","590",9713,9713,0,12,655
"G4700730","1810","Tennessee","470","Hawkins","0730","Hawkins","54","730",7643,7643,0,16,930
"G4700810","1810","Tennessee","470","Hickman","0810","Hickman","54","810",2583,2583,0,6,245
"G4700850","1810","Tennessee","470","Humphreys","0850","Humphreys","54","850",1511,1511,0,13,132
"G4700870","1810","Tennessee","470","Jackson","0870","Jackson","54","870",5401,5401,0,8,481
"G4700890","1810","Tennessee","470","Jefferson","0890","Jefferson","54","890",7309,7309,0,74,783
"G4700930","1810","Tennessee","470","Knox","0930","Knox","54","930",10171,10171,0,24,1271
"G4701030","1810","Tennessee","470","Lincoln","1030","Lincoln","54","1030",6104,6104,0,2,720
"G4701190","1810","Tennessee","470","Maury","1190","Maury","54","1190",10359,10359,0,11,2626
"G4701250","1810","Tennessee","470","Montgomery","1250","Montgomery","54","1250",8021,8021,0,6,2629
"G4701330","1810","Tennessee","470","Overton","1330","Overton","54","1330",5643,5643,0,6,355
"G4701430","1810","Tennessee","470","Rhea","1430","Rhea","54","1430",2504,2504,0,0,214
"G4701450","1810","Tennessee","470","Roane","1450","Roane","54","1450",5581,5581,0,15,670
"G4701470","1810","Tennessee","470","Robertson","1470","Robertson","54","1470",7270,7270,0,39,1608
"G4701490","1810","Tennessee","470","Rutherford","1490","Rutherford","54","1490",10265,10265,0,37,2701
"G4701550","1810","Tennessee","470","Sevier","1550","Sevier","54","1550",4595,4595,0,5,294
"G4701590","1810","Tennessee","470","Smith","1590","Smith","54","1590",11649,11649,0,24,2201
"G4701610","1810","Tennessee","470","Stewart","1610","Stewart","54","1610",4262,4262,0,18,779
"G4701630","1810","Tennessee","470","Sullivan","1630","Sullivan","54","1630",6847,6847,0,3,773
"G4701650","1810","Tennessee","470","Sumner","1650","Sumner","54","1650",13792,13792,0,97,3734
"G4701770","1810","Tennessee","470","Warren","1770","Warren","54","1770",5725,5725,0,8,476
"G4701790","1810","Tennessee","470","Washington","1790","Washington","54","1790",7740,7740,0,36,850
"G4701850","1810","Tennessee","470","White","1850","White","54","1850",4028,4028,0,0,283
"G4701870","1810","Tennessee","470","Williamson","1870","Williamson","54","1870",13153,13153,0,12,3985
"G4701890","1810","Tennessee","470","Wilson","1890","Wilson","54","1890",11952,11952,0,384,2297
"G5000010","1810","Vermont","500","Addison","0010","Addison","6","10",19993,19993,0,116,0
"G5000030","1810","Vermont","500","Bennington","0030","Bennington","6","30",15893,15893,0,45,0
"G5000050","1810","Vermont","500","Caledonia","0050","Caledonia","6","50",18740,18730,0,29,0
"G5000070","1810","Vermont","500","Chittenden","0070","Chittenden","6","70",18120,18120,0,67,0
"G5000090","1810","Vermont","500","Essex","0090","Essex","6","90",2887,3087,0,6,0
"G5000110","1810","Vermont","500","Franklin","0110","Franklin","6","110",16615,16427,0,100,0
"G5000130","1810","Vermont","500","Grand Isle","0130","Grand Isle","6","130",3445,3445,0,14,0
"G5000170","1810","Vermont","500","Orange","0170","Orange","6","170",25247,25247,0,51,0
"G5000190","1810","Vermont","500","Orleans","0190","Orleans","6","190",5650,5830,0,27,0
"G5000210","1810","Vermont","500","Rutland","0210","Rutland","6","210",29486,29486,0,99,0
"G5000250","1810","Vermont","500","Windham","0250","Windham","6","250",26760,26760,0,51,0
"G5000270","1810","Vermont","500","Windsor","0270","Windsor","6","270",34877,34877,0,145,0
"G5100010","1810","Virginia","510","Accomack","0010","Accomack","40","10",15743,15743,0,1860,4542
"G5100030","1810","Virginia","510","Albemarle","0030","Albemarle","40","30",18268,18268,0,400,9226
"G5100070","1810","Virginia","510","Amelia","0070","Amelia","40","70",10594,10594,0,155,7186
"G5100090","1810","Virginia","510","Amherst","0090","Amherst","40","90",10548,10548,0,198,5207
"G5100150","1810","Virginia","510","Augusta","0150","Augusta","40","150",14308,14308,0,196,2880
"G5100170","1810","Virginia","510","Bath","0170","Bath","40","170",4837,4837,0,49,882
"G5100190","1810","Virginia","510","Bedford","0190","Bedford","40","190",16148,16148,0,212,6147
"G5100195","1810","Virginia","510","Berkeley","0195","Berkeley","40","195",11479,11479,0,190,1529
"G5100230","1810","Virginia","510","Botetourt","0230","Botetourt","40","230",13301,13301,0,300,2275
"G5100237","1810","Virginia","510","Brooke","0237","Brooke","40","245",5843,5843,0,39,332
"G5100250","1810","Virginia","510","Brunswick","0250","Brunswick","40","250",15411,15411,0,378,9368
"G5100290","1810","Virginia","510","Buckingham","0290","Buckingham","40","290",20059,20059,0,604,11675
"G5100293","1810","Virginia","510","Cabell","0293","Cabell","40","295",2717,2717,0,25,221
"G5100310","1810","Virginia","510","Campbell","0310","Campbell","40","310",11001,11001,0,263,5368
"G5100330","1810","Virginia","510","Caroline","0330","Caroline","40","330",17544,17544,0,328,10764
"G5100360","1810","Virginia","510","Charles City","0360","Charles City","40","360",5186,5186,0,387,3023
"G5100370","1810","Virginia","510","Charlotte","0370","Charlotte","40","370",13161,13161,0,210,7597
"G5100410","1810","Virginia","510","Chesterfield","0410","Chesterfield","40","410",9979,9979,0,272,6015
"G5100470","1810","Virginia","510","Culpeper","0470","Culpeper","40","470",18967,18967,0,264,8312
"G5100490","1810","Virginia","510","Cumberland","0490","Cumberland","40","490",9992,9992,0,175,6102
"G5100530","1810","Virginia","510","Dinwiddie","0530","Dinwiddie","40","530",12524,12522,0,476,7442
"G5100550","1810","Virginia","510","Elizabeth City","0550","Elizabeth City","40","550",3608,3608,0,75,1734
"G5100570","1810","Virginia","510","Essex","0570","Essex","40","570",9376,9376,0,306,5659
"G5100590","1810","Virginia","510","Fairfax","0590","Fairfax","40","590",13111,13111,0,543,5942
"G5100610","1810","Virginia","510","Fauquier","0610","Fauquier","40","610",22689,22689,0,344,10361
"G5100650","1810","Virginia","510","Fluvanna","0650","Fluvanna","40","650",4775,4775,0,57,2142
"G5100670","1810","Virginia","510","Franklin","0670","Franklin","40","670",10724,10724,0,86,2672
"G5100690","1810","Virginia","510","Frederick","0690","Frederick","40","690",22574,22574,0,610,6417
"G5100710","1810","Virginia","510","Giles","0710","Giles","40","710",3745,3745,0,25,242
"G5100730","1810","Virginia","510","Gloucester","0730","Gloucester","40","730",10427,10427,0,446,5798
"G5100750","1810","Virginia","510","Goochland","0750","Goochland","40","750",10203,10203,0,509,5464
"G5100770","1810","Virginia","510","Grayson","0770","Grayson","40","770",4941,4941,0,30,270
"G5100775","1810","Virginia","510","Greenbrier","0775","Greenbrier","40","775",5914,5914,0,30,494
"G5100810","1810","Virginia","510","Greensville","0810","Greensville","40","810",6853,6853,0,0,4599
"G5100830","1810","Virginia","510","Halifax","0830","Halifax","40","830",22133,22133,0,353,9663
"G5100833","1810","Virginia","510","Hampshire","0833","Hampshire","40","835",9784,9784,0,124,929
"G5100850","1810","Virginia","510","Hanover","0850","Hanover","40","850",15082,15082,0,409,8454
"G5100853","1810","Virginia","510","Hardy","0853","Hardy","40","855",5525,5525,0,197,749
"G5100857","1810","Virginia","510","Harrison","0857","Harrison","40","865",9958,9958,0,51,459
"G5100870","1810","Virginia","510","Henrico","0870","Henrico","40","870",9945,9945,0,715,4846
"G5100890","1810","Virginia","510","Henry","0890","Henry","40","890",5611,5611,0,215,1755
"G5100930","1810","Virginia","510","Isle Of Wight","0930","Isle Of Wight","40","930",9186,9186,0,698,4041
"G5100950","1810","Virginia","510","James City","0950","James City","40","950",4094,4094,0,420,2320
"G5100953","1810","Virginia","510","Jefferson","0953","Jefferson","40","955",11851,11851,0,352,3532
"G5100957","1810","Virginia","510","Kanawha","0957","Kanawha","40","965",3866,3866,0,46,352
"G5100970","1810","Virginia","510","King And Queen","0970","King And Queen","40","970",10988,10988,0,267,6003
"G5100990","1810","Virginia","510","King George","0990","King George","40","990",6454,6454,0,197,3876
"G5101010","1810","Virginia","510","King William","1010","King William","40","1010",9285,9285,0,203,5788
"G5101030","1810","Virginia","510","Lancaster","1030","Lancaster","40","1030",5592,5592,0,204,3112
"G5101050","1810","Virginia","510","Lee","1050","Lee","40","1050",4694,4694,0,21,336
"G5101070","1810","Virginia","510","Loudoun","1070","Loudoun","40","1070",21338,21338,0,604,5157
"G5101090","1810","Virginia","510","Louisa","1090","Louisa","40","1090",11900,11900,0,157,6490
"G5101110","1810","Virginia","510","Lunenburg","1110","Lunenburg","40","1110",12265,12265,0,177,7155
"G5101130","1810","Virginia","510","Madison","1130","Madison","40","1130",8381,8381,0,88,3970
"G5101137","1810","Virginia","510","Mason","1137","Mason","40","1148",1991,1991,0,0,249
"G5101150","1810","Virginia","510","Mathews","1150","Matthews","40","1150",4227,4227,0,41,2068
"G5101170","1810","Virginia","510","Mecklenburg","1170","Mecklenburg","40","1170",18453,18453,0,493,10264
"G5101190","1810","Virginia","510","Middlesex","1190","Middlesex","40","1190",4414,4414,0,127,2476
"G5101193","1810","Virginia","510","Monongalia","1193","Monongalia","40","1195",12793,12793,0,37,351
"G5101197","1810","Virginia","510","Monroe","1197","Monroe","40","1205",5444,5444,0,70,376
"G5101210","1810","Virginia","510","Montgomery","1210","Montgomery","40","1210",8409,8409,0,57,1099
"G5101230","1810","Virginia","510","Nansemond","1230","Nansemond","40","1230",10324,10324,0,1269,4462
"G5101250","1810","Virginia","510","Nelson","1250","Nelson","40","1250",9684,9684,0,108,4679
"G5101270","1810","Virginia","510","New Kent","1270","New Kent","40","1270",6478,6478,0,308,3725
"G5101290","1810","Virginia","510","Norfolk","1290","Norfolk","40","1290",13679,13679,0,587,5647
"G5101310","1810","Virginia","510","Northampton","1310","Northampton","40","1310",7474,7474,0,908,3350
"G5101330","1810","Virginia","510","Northumberland","1330","Northumberland","40","1330",8308,8308,0,299,3847
"G5101350","1810","Virginia","510","Nottoway","1350","Nottoway","40","1350",9278,9278,0,180,6368
"G5101355","1810","Virginia","510","Ohio","1355","Ohio","40","1355",8175,8175,0,54,440
"G5101370","1810","Virginia","510","Orange","1370","Orange","40","1370",12323,12323,0,96,6516
"G5101410","1810","Virginia","510","Patrick","1410","Patrick","40","1410",4695,4695,0,275,724
"G5101415","1810","Virginia","510","Pendleton","1415","Pendleton","40","1415",4239,4239,0,25,262
"G5101430","1810","Virginia","510","Pittsylvania","1430","Pittsylvania","40","1430",17172,17172,0,150,6312
"G5101450","1810","Virginia","510","Powhatan","1450","Powhatan","40","1450",8073,8073,0,498,5091
"G5101470","1810","Virginia","510","Prince Edward","1470","Prince Edward","40","1470",12409,12409,0,149,6996
"G5101490","1810","Virginia","510","Prince George","1490","Prince George","40","1490",8050,8050,0,463,4486
"G5101510","1810","Virginia","510","Princess Anne","1510","Princess Anne","40","1510",9498,9498,0,267,3926
"G5101530","1810","Virginia","510","Prince William","1530","Prince William","40","1530",11311,11311,0,358,5220
"G5101557","1810","Virginia","510","Randolph","1557","Randolph","40","1567",2854,2854,0,37,111
"G5101590","1810","Virginia","510","Richmond","1590","Richmond","40","1590",6214,6214,0,261,3178
"G5101630","1810","Virginia","510","Rockbridge","1630","Rockbridge","40","1630",10318,10318,0,149,1724
"G5101650","1810","Virginia","510","Rockingham","1650","Rockingham","40","1650",12753,12753,0,213,1491
"G5101670","1810","Virginia","510","Russell","1670","Russell","40","1670",6319,6319,0,36,386
"G5101710","1810","Virginia","510","Shenandoah","1710","Shenandoah","40","1710",13646,13646,0,147,1038
"G5101750","1810","Virginia","510","Southampton","1750","Southampton","40","1750",13497,13497,0,1109,6406
"G5101770","1810","Virginia","510","Spotsylvania","1770","Spotsylvania","40","1770",13296,13296,0,565,7135
"G5101790","1810","Virginia","510","Stafford","1790","Stafford","40","1790",9830,9830,0,316,4195
"G5101810","1810","Virginia","510","Surry","1810","Surry","40","1810",6855,6855,0,664,3440
"G5101830","1810","Virginia","510","Sussex","1830","Sussex","40","1830",11362,11362,0,582,6344
"G5101850","1810","Virginia","510","Tazewell","1850","Tazewell","40","1850",3007,3007,0,18,328
"G5101890","1810","Virginia","510","Warwick","1890","Warwick","40","1875",1835,1835,0,18,1120
"G5101910","1810","Virginia","510","Washington","1910","Washington","40","1910",12156,12156,0,127,1448
"G5101930","1810","Virginia","510","Westmoreland","1930","Westmoreland","40","1930",8102,8102,0,621,4080
"G5101953","1810","Virginia","510","Wood","1953","Wood","40","1955",3036,3036,0,1,450
"G5101970","1810","Virginia","510","Wythe","1970","Wythe","40","1970",8356,8356,0,19,1157
"G5101990","1810","Virginia","510","York","1990","York","40","1990",5187,5187,0,458,2931
"G5107100","1810","Virginia","510","Norfolk City","7100","Norfolk City","40","7100",9193,9193,9193,592,3825
"G5107300","1810","Virginia","510","Petersburg City","7300","Petersburg City","40","7300",5668,5668,5668,1089,2175
"G5107600","1810","Virginia","510","Richmond City","7600","Richmond City","40","7600",9755,9735,9735,1189,3748
