GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABA001,ABE001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G2400210","1820","Maryland","240","Frederick","0210","Frederick","52","190",40459,3640,16312,15685,3575,3110,951,826
"G2400250","1820","Maryland","240","Harford","0250","Harford","52","230",15924,0,5706,5511,1811,1509,691,696
"G2400290","1820","Maryland","240","Kent","0290","Kent","52","270",11453,0,2668,2647,2276,1795,1007,1060
"G2400310","1820","Maryland","240","Montgomery","0310","Montgomery","52","290",16400,0,4585,4497,3388,3008,446,476
"G2400330","1820","Maryland","240","Prince Georges","0330","Prince Georges","52","310",20216,0,4035,3900,5786,5399,548,548
"G2400350","1820","Maryland","240","Queen Anne's","0350","Queen Anne's","52","330",14952,0,3685,3541,2956,2632,1053,1085
"G2400370","1820","Maryland","240","St Mary's","0370","St Mary's","52","370",12974,0,3002,3031,3075,2972,431,463
"G2400390","1820","Maryland","240","Somerset","0390","Somerset","52","350",19579,0,5105,5279,3876,3365,912,1042
"G2400410","1820","Maryland","240","Talbot","0410","Talbot","52","390",14389,0,3660,3727,2488,2280,1042,1192
"G2400430","1820","Maryland","240","Washington","0430","Washington","52","410",23075,0,10049,9198,1699,1502,289,338
"G2400470","1820","Maryland","240","Worcester","0470","Worcester","52","450",17421,0,5603,5629,2514,2037,816,822
"G2405100","1820","Maryland","240","Baltimore City","5100","Baltimore City","52","5100",62738,62738,23922,24133,1968,2389,4363,5963
"G2500010","1820","Massachusetts","250","Barnstable","0010","Barnstable","3","10",24026,0,11765,12080,0,0,98,83
"G2500030","1820","Massachusetts","250","Berkshire","0030","Berkshire","3","30",35720,0,17254,17604,0,0,427,435
"G2500050","1820","Massachusetts","250","Bristol","0050","Bristol","3","50",40908,8467,19239,20871,0,0,378,420
"G2500070","1820","Massachusetts","250","Dukes","0070","Dukes","3","70",3292,0,1543,1652,0,0,50,47
"G2500090","1820","Massachusetts","250","Essex","0090","Essex","3","90",74655,40395,35216,38784,0,0,328,327
"G2500110","1820","Massachusetts","250","Franklin","0110","Franklin","3","110",29268,0,14366,14767,0,0,77,58
"G2500130","1820","Massachusetts","250","Hampden","0130","Hampden","3","130",28021,0,13800,13915,0,0,166,140
"G2500150","1820","Massachusetts","250","Hampshire","0150","Hampshire","3","150",26487,0,13038,13233,0,0,104,112
"G2500170","1820","Massachusetts","250","Middlesex","0170","Middlesex","3","170",61472,6591,30340,30717,0,0,213,202
"G2500190","1820","Massachusetts","250","Nantucket","0190","Nantucket","3","190",7266,7266,3346,3646,0,0,132,115
"G2500210","1820","Massachusetts","250","Norfolk","0210","Norfolk","3","210",36471,4135,17451,18763,0,0,126,131
"G2500230","1820","Massachusetts","250","Plymouth","0230","Plymouth","3","230",38136,9035,18131,19587,0,0,198,190
"G2500250","1820","Massachusetts","250","Suffolk","0250","Suffolk","3","250",43940,43298,20430,21734,0,0,774,952
"G2500270","1820","Massachusetts","250","Worcester","0270","Worcester","3","270",73625,0,36235,36912,0,0,237,220
"G2650035","1820","Michigan Territory","265","Brown","0035","Brown","23","8010",952,0,785,166,0,0,1,0
"G2650095","1820","Michigan Territory","265","Crawford","0095","Crawford","23","8030",492,0,243,102,0,0,7,9
"G2650215","1820","Michigan Territory","265","Macomb","0215","Macomb","23","990",898,0,465,431,0,0,2,0
"G2650235","1820","Michigan Territory","265","Michilimackinac","0235","Michilimackinac","23","970",819,0,660,154,0,0,4,1
"G2650255","1820","Michigan Territory","265","Monroe","0255","Monroe","23","1150",1831,0,1013,810,0,0,7,1
"G2650275","1820","Michigan Territory","265","Oakland","0275","Oakland","23","1250",330,0,199,122,0,0,6,3
"G2650375","1820","Michigan Territory","265","Wayne","0375","Wayne","23","1630",3574,0,2018,1423,0,0,78,55
"G2800010","1820","Mississippi","280","Adams","0010","Adams","46","10",12076,0,2320,1685,4080,3873,58,60
"G2800050","1820","Mississippi","280","Amite","0050","Amite","46","50",6853,0,2169,1837,1417,1416,7,7
"G2800210","1820","Mississippi","280","Claiborne","0210","Claiborne","46","210",5963,0,1599,1241,1572,1515,19,17
"G2800310","1820","Mississippi","280","Covington","0310","Covington","46","310",2230,0,927,897,213,193,0,0
"G2800370","1820","Mississippi","280","Franklin","0370","Franklin","46","370",3821,0,1202,1075,748,787,5,4
"G2800410","1820","Mississippi","280","Greene","0410","Greene","46","410",1445,0,545,518,200,180,2,0
"G2800450","1820","Mississippi","280","Hancock","0450","Hancock","46","450",1594,0,697,445,171,150,65,66
"G2800590","1820","Mississippi","280","Jackson","0590","Jackson","46","590",1682,0,712,588,148,173,29,32
"G2800630","1820","Mississippi","280","Jefferson","0630","Jefferson","46","630",6822,0,1857,1297,2032,1603,14,19
"G2800770","1820","Mississippi","280","Lawrence","0770","Lawrence","46","770",4916,0,2236,1683,531,460,4,2
"G2800910","1820","Mississippi","280","Marion","0910","Marion","46","910",3116,0,1059,825,621,611,0,0
"G2800950","1820","Mississippi","280","Monroe","0950","Monroe","46","950",2721,0,1209,983,259,263,7,0
"G2801110","1820","Mississippi","280","Perry","1110","Perry","46","1110",2037,0,804,735,240,251,4,3
"G2801130","1820","Mississippi","280","Pike","1130","Pike","46","1130",4438,0,1845,1598,461,533,0,1
"G2801490","1820","Mississippi","280","Warren","1490","Warren","46","1490",2693,0,785,616,706,581,3,2
"G2801530","1820","Mississippi","280","Wayne","1530","Wayne","46","1530",3323,0,1170,1080,517,548,8,0
"G2801570","1820","Mississippi","280","Wilkinson","1570","Wilkinson","46","1570",9718,0,2150,1787,2934,2827,14,6
"G2950015","1820","Missouri Territory","295","Cape Girardeau","0015","Cape Girardeau","34","310",5968,0,2658,2400,432,433,25,20
"G2950035","1820","Missouri Territory","295","Cooper","0035","Cooper","34","530",6959,0,3383,2924,344,293,13,2
"G2950055","1820","Missouri Territory","295","Franklin","0055","Franklin","34","710",2379,0,1190,980,111,98,0,0
"G2950075","1820","Missouri Territory","295","Howard","0075","Howard","34","890",13426,0,6160,5159,1049,1040,11,7
"G2950095","1820","Missouri Territory","295","Jefferson","0095","Jefferson","34","990",1835,0,867,753,117,95,2,1
"G2950115","1820","Missouri Territory","295","Lincoln","0115","Lincoln","34","1130",1662,0,799,620,125,117,1,0
"G2950135","1820","Missouri Territory","295","Madison","0135","Madison","34","1230",2047,0,901,771,184,187,2,2
"G2950155","1820","Missouri Territory","295","Montgomery","0155","Montgomery","34","1390",3074,0,1425,1122,268,258,1,0
"G2950175","1820","Missouri Territory","295","New Madrid","0175","New Madrid","34","1430",2296,0,1068,933,148,143,1,3
"G2950195","1820","Missouri Territory","295","Pike","0195","Pike","34","1630",3747,0,1749,1322,360,316,0,0
"G2950215","1820","Missouri Territory","295","St Charles","0215","St Charles","34","1830",3970,0,1857,1418,346,336,6,7
"G2950235","1820","Missouri Territory","295","Ste Genevieve","0235","Ste Genevieve","34","1930",4962,0,2071,1861,535,448,24,23
"G2950255","1820","Missouri Territory","295","St Louis","0255","St Louis","34","1890",10049,0,4837,3177,987,823,100,96
"G2950275","1820","Missouri Territory","295","Washington","0275","Washington","34","2210",2769,0,1286,1058,228,197,0,0
"G2950295","1820","Missouri Territory","295","Wayne","0295","Wayne","34","2230",1443,0,750,489,107,97,0,0
"G3300050","1820","New Hampshire","330","Cheshire","0050","Cheshire","4","50",45376,0,22275,23021,0,0,36,44
"G3300070","1820","New Hampshire","330","Coos","0070","Coos","4","70",5549,0,2737,2808,0,0,1,3
"G3300090","1820","New Hampshire","330","Grafton","0090","Grafton","4","90",32989,0,16418,16524,0,0,22,25
"G3300110","1820","New Hampshire","330","Hillsborough","0110","Hillsborough","4","110",53884,0,26155,27496,0,0,109,124
"G3300150","1820","New Hampshire","330","Rockingham","0150","Rockingham","4","150",55246,7327,26713,28039,0,0,173,182
"G3300170","1820","New Hampshire","330","Strafford","0170","Strafford","4","170",51117,0,24912,26138,0,0,31,36
"G3400030","1820","New Jersey","340","Bergen","0030","Bergen","12","30",18178,0,7824,7572,913,770,548,511
"G3400050","1820","New Jersey","340","Burlington","0050","Burlington","12","50",28822,0,13533,13946,40,42,660,601
"G3400090","1820","New Jersey","340","Cape May","0090","Cape May","12","90",4265,0,2095,1937,13,15,118,87
"G3400110","1820","New Jersey","340","Cumberland","0110","Cumberland","12","110",12668,0,5999,6046,10,8,315,290
"G3400130","1820","New Jersey","340","Essex","0130","Essex","12","130",30793,3515,14423,14321,344,315,667,723
"G3400150","1820","New Jersey","340","Gloucester","0150","Gloucester","12","150",23089,0,11351,10617,18,21,552,512
"G3400190","1820","New Jersey","340","Hunterdon","0190","Hunterdon","12","190",28604,3942,13155,13299,295,321,711,732
"G3400230","1820","New Jersey","340","Middlesex","0230","Middlesex","12","230",21470,0,9675,9750,493,519,505,528
"G3400250","1820","New Jersey","340","Monmouth","0250","Monmouth","12","250",25038,0,11524,11284,735,513,523,459
"G3400270","1820","New Jersey","340","Morris","0270","Morris","12","270",21368,0,10091,10163,344,313,246,211
"G3400330","1820","New Jersey","340","Salem","0330","Salem","12","330",14022,0,6607,6399,7,8,553,448
"G3400350","1820","New Jersey","340","Somerset","0350","Somerset","12","350",16506,0,6988,6909,604,518,759,728
"G3400370","1820","New Jersey","340","Sussex","0370","Sussex","12","370",32752,0,16354,15547,172,206,259,214
"G3600010","1820","New York","360","Albany","0010","Albany","13","10",38116,12630,18353,18492,210,203,376,482
"G3600030","1820","New York","360","Allegany","0030","Allegany","13","30",9330,0,4919,4382,8,9,6,6
"G3600070","1820","New York","360","Broome","0070","Broome","13","70",14343,0,7318,6937,8,17,33,30
"G3600090","1820","New York","360","Cattaraugus","0090","Cattaraugus","13","90",4090,0,2250,1834,0,2,2,2
"G3600110","1820","New York","360","Cayuga","0110","Cayuga","13","110",38897,0,19862,18796,17,31,119,72
"G3600130","1820","New York","360","Chautauqua","0130","Chautauqua","13","130",12568,0,6590,5965,1,2,5,5
"G3600170","1820","New York","360","Chenango","0170","Chenango","13","170",31215,0,15758,15261,3,4,93,96
"G3600190","1820","New York","360","Clinton","0190","Clinton","13","190",12070,0,6510,5462,0,2,48,48
"G3600210","1820","New York","360","Columbia","0210","Columbia","13","210",38330,5310,18078,18438,374,387,525,528
"G3600230","1820","New York","360","Cortland","0230","Cortland","13","230",16507,0,8378,8078,2,1,23,25
"G3600250","1820","New York","360","Delaware","0250","Delaware","13","250",26587,0,13441,13008,33,23,43,39
"G3600270","1820","New York","360","Dutchess","0270","Dutchess","13","270",46615,0,22374,21784,383,389,764,921
"G3600310","1820","New York","360","Essex","0310","Essex","13","310",12811,0,6581,6199,3,0,19,9
"G3600330","1820","New York","360","Franklin","0330","Franklin","13","330",4439,0,2361,2078,0,0,0,0
"G3600370","1820","New York","360","Genesee","0370","Genesee","13","370",58093,0,30267,27681,20,15,43,39
"G3600390","1820","New York","360","Greene","0390","Greene","13","390",22996,0,11283,10942,62,72,311,326
"G3600410","1820","New York","360","Hamilton","0410","Hamilton","13","410",1251,0,666,583,1,0,1,0
"G3600430","1820","New York","360","Herkimer","0430","Herkimer","13","430",31017,0,15653,15032,34,38,97,91
"G3600450","1820","New York","360","Jefferson","0450","Jefferson","13","450",32952,0,17599,15213,1,4,79,56
"G3600470","1820","New York","360","Kings","0470","Kings","13","470",11187,7175,4912,4514,519,360,410,472
"G3600490","1820","New York","360","Lewis","0490","Lewis","13","490",9227,0,4820,4364,0,0,22,21
"G3600530","1820","New York","360","Madison","0530","Madison","13","530",32208,0,16280,15736,1,9,86,96
"G3600570","1820","New York","360","Montgomery","0570","Montgomery","13","570",37569,0,18496,18145,167,182,287,284
"G3600610","1820","New York","360","New York","0610","New York","13","610",123706,123706,55312,57508,177,341,4194,6174
"G3600630","1820","New York","360","Niagara","0630","Niagara","13","630",22990,0,12199,10709,3,12,36,31
"G3600650","1820","New York","360","Oneida","0650","Oneida","13","650",50997,2972,25711,24909,3,6,172,196
"G3600670","1820","New York","360","Onondaga","0670","Onondaga","13","670",41467,0,21107,20106,25,34,96,99
"G3600690","1820","New York","360","Ontario","0690","Ontario","13","690",88267,0,44936,42604,0,0,353,374
"G3600710","1820","New York","360","Orange","0710","Orange","13","710",41213,0,19952,19167,507,618,480,489
"G3600750","1820","New York","360","Oswego","0750","Oswego","13","750",12374,0,6505,5837,0,0,17,15
"G3600770","1820","New York","360","Otsego","0770","Otsego","13","770",44856,0,22303,22302,4,12,119,116
"G3600790","1820","New York","360","Putnam","0790","Putnam","13","790",11268,0,5555,5498,26,23,83,83
"G3600810","1820","New York","360","Queens","0810","Queens","13","810",21519,0,9272,9040,289,270,1360,1288
"G3600830","1820","New York","360","Rensselaer","0830","Rensselaer","13","830",40153,5264,19543,19506,217,216,277,355
"G3600850","1820","New York","360","Richmond","0850","Richmond","13","850",6135,0,2835,2690,331,201,43,35
"G3600870","1820","New York","360","Rockland","0870","Rockland","13","870",8837,0,4250,4051,66,58,214,198
"G3600890","1820","New York","360","St Lawrence","0890","St Lawrence","13","890",16037,0,8503,7512,3,5,7,7
"G3600910","1820","New York","360","Saratoga","0910","Saratoga","13","910",36052,0,17851,17574,36,87,231,273
"G3600930","1820","New York","360","Schenectady","0930","Schenectady","13","930",13081,3939,6305,6015,46,56,216,238
"G3600950","1820","New York","360","Schoharie","0950","Schoharie","13","950",23154,0,11570,11011,163,139,145,119
"G3600990","1820","New York","360","Seneca","0990","Seneca","13","990",23619,0,11976,11379,40,44,103,77
"G3601010","1820","New York","360","Steuben","1010","Steuben","13","1010",21989,0,11457,10356,24,22,69,61
"G3601030","1820","New York","360","Suffolk","1030","Suffolk","13","1030",24272,0,11191,11250,171,152,523,643
"G3601050","1820","New York","360","Sullivan","1050","Sullivan","13","1050",8900,0,4579,4219,31,38,17,16
"G3601070","1820","New York","360","Tioga","1070","Tioga","13","1070",16971,0,8712,8123,66,38,20,12
"G3601090","1820","New York","360","Tompkins","1090","Tompkins","13","1090",20681,0,10536,10073,5,1,31,35
"G3601110","1820","New York","360","Ulster","1110","Ulster","13","1110",30934,0,14829,13985,827,696,303,294
"G3601130","1820","New York","360","Warren","1130","Warren","13","1130",9453,0,4808,4628,2,5,5,5
"G3601150","1820","New York","360","Washington","1150","Washington","13","1150",38831,0,19526,18901,66,84,131,123
"G3601190","1820","New York","360","Westchester","1190","Westchester","13","1190",32638,0,15479,15316,113,92,821,817
"G3700070","1820","North Carolina","370","Anson","0070","Anson","47","70",12534,0,4603,4308,1670,1806,78,69
"G3700090","1820","North Carolina","370","Ashe","0090","Ashe","47","90",4335,0,2093,1952,135,115,27,13
"G3700130","1820","North Carolina","370","Beaufort","0130","Beaufort","47","130",9850,0,2914,2955,1901,1754,156,170
"G3700150","1820","North Carolina","370","Bertie","0150","Bertie","47","150",10805,0,2278,2552,2977,2748,125,125
"G3700170","1820","North Carolina","370","Bladen","0170","Bladen","47","170",7276,0,2076,2270,1382,1406,78,64
"G3700190","1820","North Carolina","370","Brunswick","0190","Brunswick","47","190",5480,0,1495,1442,1196,1138,101,108
"G3700210","1820","North Carolina","370","Buncombe","0210","Buncombe","47","210",10542,0,4861,4606,530,512,19,14
"G3700230","1820","North Carolina","370","Burke","0230","Burke","47","230",13411,0,5801,5618,950,967,31,44
"G3700250","1820","North Carolina","370","Cabarrus","0250","Cabarrus","47","250",7248,0,2850,2782,842,757,14,3
"G3700290","1820","North Carolina","370","Camden","0290","Camden","47","290",6347,0,2194,2287,967,782,50,67
"G3700310","1820","North Carolina","370","Carteret","0310","Carteret","47","310",5609,0,2056,2115,655,674,62,47
"G3700330","1820","North Carolina","370","Caswell","0330","Caswell","47","330",13253,0,3818,3725,2771,2646,164,129
"G3700370","1820","North Carolina","370","Chatham","0370","Chatham","47","370",12661,0,4315,4355,1909,1899,100,83
"G3700410","1820","North Carolina","370","Chowan","0410","Chowan","47","410",6464,0,1402,1437,1836,1633,69,87
"G3700470","1820","North Carolina","370","Columbus","0470","Columbus","47","470",3912,0,1458,1464,453,460,49,28
"G3700490","1820","North Carolina","370","Craven","0490","Craven","47","490",13394,3663,3170,3393,2526,2561,875,869
"G3700510","1820","North Carolina","370","Cumberland","0510","Cumberland","47","510",14446,3532,4610,4521,2394,2357,288,276
"G3700530","1820","North Carolina","370","Currituck","0530","Currituck","47","530",8098,0,3087,3011,978,876,75,71
"G3700610","1820","North Carolina","370","Duplin","0610","Duplin","47","610",9744,0,2913,3171,1874,1725,32,29
"G3700650","1820","North Carolina","370","Edgecombe","0650","Edgecombe","47","650",13276,0,3573,3700,2961,2784,127,131
"G3700690","1820","North Carolina","370","Franklin","0690","Franklin","47","690",9741,0,2411,2462,2337,2372,81,78
"G3700730","1820","North Carolina","370","Gates","0730","Gates","47","730",6837,0,1998,1991,1742,943,47,116
"G3700770","1820","North Carolina","370","Granville","0770","Granville","47","770",18222,0,4296,4328,4659,4412,309,212
"G3700790","1820","North Carolina","370","Greene","0790","Greene","47","790",4533,0,1122,1172,1113,1061,47,18
"G3700810","1820","North Carolina","370","Guilford","0810","Guilford","47","810",14511,0,6562,6130,873,738,116,92
"G3700830","1820","North Carolina","370","Halifax","0830","Halifax","47","830",17237,0,3181,3055,4848,4602,749,802
"G3700870","1820","North Carolina","370","Haywood","0870","Haywood","47","870",4073,0,1888,1892,131,143,9,10
"G3700910","1820","North Carolina","370","Hertford","0910","Hertford","47","910",7712,0,1796,1884,1676,1568,376,412
"G3700950","1820","North Carolina","370","Hyde","0950","Hyde","47","950",4967,0,1599,1642,801,779,72,74
"G3700970","1820","North Carolina","370","Iredell","0970","Iredell","47","970",13071,0,5040,5018,1438,1550,15,10
"G3701010","1820","North Carolina","370","Johnston","1010","Johnston","47","1010",9607,0,3225,3181,1588,1498,63,52
"G3701030","1820","North Carolina","370","Jones","1030","Jones","47","1030",5216,0,1148,1152,1439,1325,82,70
"G3701070","1820","North Carolina","370","Lenoir","1070","Lenoir","47","1070",6799,0,1594,1737,1694,1660,66,48
"G3701090","1820","North Carolina","370","Lincoln","1090","Lincoln","47","1090",18147,0,7576,7215,1719,1610,17,10
"G3701170","1820","North Carolina","370","Martin","1170","Martin","47","1170",6320,0,1593,1785,1577,1273,55,37
"G3701190","1820","North Carolina","370","Mecklenburg","1190","Mecklenburg","47","1190",16895,0,5872,5813,2468,2713,22,7
"G3701230","1820","North Carolina","370","Montgomery","1230","Montgomery","47","1230",8693,0,3469,3391,941,874,13,5
"G3701250","1820","North Carolina","370","Moore","1250","Moore","47","1250",7128,0,2873,2905,665,631,30,24
"G3701270","1820","North Carolina","370","Nash","1270","Nash","47","1270",8185,0,2258,2264,1718,1727,103,115
"G3701290","1820","North Carolina","370","New Hanover","1290","New Hanover","47","1290",10866,2633,2634,2452,2708,2853,102,117
"G3701310","1820","North Carolina","370","Northampton","1310","Northampton","47","1310",13242,0,2538,2716,3766,3497,363,362
"G3701330","1820","North Carolina","370","Onslow","1330","Onslow","47","1330",7016,0,2095,2084,1454,1323,37,23
"G3701350","1820","North Carolina","370","Orange","1350","Orange","47","1350",23492,0,8483,8294,3057,3096,268,294
"G3701390","1820","North Carolina","370","Pasquotank","1390","Pasquotank","47","1390",8008,0,2444,2416,1445,1171,305,227
"G3701430","1820","North Carolina","370","Perquimans","1430","Perquimans","47","1430",6857,0,2048,2131,1276,1189,100,113
"G3701450","1820","North Carolina","370","Person","1450","Person","47","1450",9029,0,2660,2615,1890,1784,36,44
"G3701470","1820","North Carolina","370","Pitt","1470","Pitt","47","1470",10001,0,2864,2867,2213,2028,18,11
"G3701510","1820","North Carolina","370","Randolph","1510","Randolph","47","1510",11331,6,5038,4979,548,532,121,107
"G3701530","1820","North Carolina","370","Richmond","1530","Richmond","47","1530",7537,0,2740,2719,1019,1002,31,26
"G3701550","1820","North Carolina","370","Robeson","1550","Robeson","47","1550",8204,0,2860,2817,869,1230,212,216
"G3701570","1820","North Carolina","370","Rockingham","1570","Rockingham","47","1570",11474,0,4255,4095,1438,1536,64,86
"G3701590","1820","North Carolina","370","Rowan","1590","Rowan","47","1590",26009,0,10027,10462,2748,2633,80,59
"G3701610","1820","North Carolina","370","Rutherford","1610","Rutherford","47","1610",15351,0,6373,5616,1523,1798,23,18
"G3701630","1820","North Carolina","370","Sampson","1630","Sampson","47","1630",8908,0,2900,2978,1474,1383,92,81
"G3701690","1820","North Carolina","370","Stokes","1690","Stokes","47","1690",14033,0,5689,5945,1065,1139,106,89
"G3701710","1820","North Carolina","370","Surry","1710","Surry","47","1710",12320,0,5296,5547,711,654,65,47
"G3701770","1820","North Carolina","370","Tyrrell","1770","Tyrrell","47","1770",4319,0,1498,1509,647,614,27,24
"G3701830","1820","North Carolina","370","Wake","1830","Wake","47","1830",20102,2674,5835,6116,3742,3675,356,378
"G3701850","1820","North Carolina","370","Warren","1850","Warren","47","1850",11158,0,2060,2154,3510,3244,101,89
"G3701870","1820","North Carolina","370","Washington","1870","Washington","47","1870",3986,0,1083,1159,881,786,43,34
"G3701910","1820","North Carolina","370","Wayne","1910","Wayne","47","1910",9040,0,2854,2867,1650,1512,77,80
"G3701930","1820","North Carolina","370","Wilkes","1930","Wilkes","47","1930",9967,0,4296,4337,583,608,70,73
"G3900010","1820","Ohio","390","Adams","0010","Adams","24","10",10406,0,5358,4992,0,0,25,31
"G3900070","1820","Ohio","390","Ashtabula","0070","Ashtabula","24","70",7382,0,3878,3493,0,0,3,1
"G3900090","1820","Ohio","390","Athens","0090","Athens","24","90",6338,0,3266,3046,0,0,15,11
"G3900130","1820","Ohio","390","Belmont","0130","Belmont","24","130",20329,0,10247,9855,0,0,113,114
"G3900150","1820","Ohio","390","Brown","0150","Brown","24","150",13356,0,6501,6517,0,0,160,178
"G3900170","1820","Ohio","390","Butler","0170","Butler","24","170",21746,0,11206,10382,0,0,78,80
"G3900210","1820","Ohio","390","Champaign","0210","Champaign","24","210",8479,0,4366,3964,0,0,67,82
"G3900230","1820","Ohio","390","Clark","0230","Clark","24","230",9533,0,4970,4521,0,0,27,15
"G3900250","1820","Ohio","390","Clermont","0250","Clermont","24","250",15820,0,8090,7701,0,0,13,16
"G3900270","1820","Ohio","390","Clinton","0270","Clinton","24","270",8085,0,4104,3935,0,0,24,22
"G3900290","1820","Ohio","390","Columbiana","0290","Columbiana","24","290",22033,0,11238,10635,0,0,91,69
"G3900310","1820","Ohio","390","Coshocton","0310","Coshocton","24","310",7086,0,3705,3362,0,0,8,11
"G3900350","1820","Ohio","390","Cuyahoga","0350","Cuyahoga","24","350",6328,0,3377,2897,0,0,33,21
"G3900370","1820","Ohio","390","Darke","0370","Darke","24","370",3717,0,1939,1760,0,0,8,10
"G3900410","1820","Ohio","390","Delaware","0410","Delaware","24","410",7639,0,3986,3616,0,0,19,18
"G3900450","1820","Ohio","390","Fairfield","0450","Fairfield","24","450",16633,0,8691,7920,0,0,9,13
"G3900470","1820","Ohio","390","Fayette","0470","Fayette","24","470",6316,0,3250,3041,0,0,12,13
"G3900490","1820","Ohio","390","Franklin","0490","Franklin","24","490",10292,0,5332,4708,0,0,68,64
"G3900530","1820","Ohio","390","Gallia","0530","Gallia","24","530",7098,0,3603,3354,0,0,85,56
"G3900550","1820","Ohio","390","Geauga","0550","Geauga","24","550",7791,0,4244,3541,0,0,6,0
"G3900570","1820","Ohio","390","Greene","0570","Greene","24","570",10529,0,5366,5102,0,0,25,28
"G3900590","1820","Ohio","390","Guernsey","0590","Guernsey","24","590",9292,0,4766,4474,0,0,30,22
"G3900610","1820","Ohio","390","Hamilton","0610","Hamilton","24","610",31764,9642,16262,14869,0,0,328,305
"G3900670","1820","Ohio","390","Harrison","0670","Harrison","24","670",14345,0,7289,7028,0,0,21,7
"G3900710","1820","Ohio","390","Highland","0710","Highland","24","710",12308,0,6256,5881,0,0,87,84
"G3900730","1820","Ohio","390","Hocking","0730","Hocking","24","730",2130,0,1099,1031,0,0,0,0
"G3900770","1820","Ohio","390","Huron","0770","Huron","24","770",6675,0,3678,2990,0,0,7,0
"G3900790","1820","Ohio","390","Jackson","0790","Jackson","24","790",3746,0,1999,1711,0,0,18,18
"G3900810","1820","Ohio","390","Jefferson","0810","Jefferson","24","810",18531,0,9462,8852,0,0,105,112
"G3900830","1820","Ohio","390","Knox","0830","Knox","24","830",8326,0,4451,3855,0,0,10,10
"G3900870","1820","Ohio","390","Lawrence","0870","Lawrence","24","870",3499,0,1819,1657,0,0,11,12
"G3900890","1820","Ohio","390","Licking","0890","Licking","24","890",11861,0,6236,5587,0,0,21,17
"G3900910","1820","Ohio","390","Logan","0910","Logan","24","910",3181,0,1639,1464,0,0,41,37
"G3900970","1820","Ohio","390","Madison","0970","Madison","24","970",4799,0,2530,2247,0,0,12,10
"G3901030","1820","Ohio","390","Medina","1030","Medina","24","1030",3082,0,1723,1345,0,0,8,6
"G3901050","1820","Ohio","390","Meigs","1050","Meigs","24","1050",4480,0,2340,2137,0,0,0,3
"G3901090","1820","Ohio","390","Miami","1090","Miami","24","1090",8851,0,4573,4218,0,0,39,21
"G3901110","1820","Ohio","390","Monroe","1110","Monroe","24","1110",4645,0,2436,2198,0,0,6,5
"G3901130","1820","Ohio","390","Montgomery","1130","Montgomery","24","1130",15999,0,8279,7647,0,0,41,32
"G3901150","1820","Ohio","390","Morgan","1150","Morgan","24","1150",5297,0,2740,2542,0,0,5,10
"G3901190","1820","Ohio","390","Muskingum","1190","Muskingum","24","1190",17824,0,9470,8161,0,0,100,93
"G3901270","1820","Ohio","390","Perry","1270","Perry","24","1270",8429,0,4410,4001,0,0,6,12
"G3901290","1820","Ohio","390","Pickaway","1290","Pickaway","24","1290",13149,0,6748,6263,0,0,65,73
"G3901310","1820","Ohio","390","Pike","1310","Pike","24","1310",4253,0,2068,2063,0,0,63,59
"G3901330","1820","Ohio","390","Portage","1330","Portage","24","1330",10095,0,5396,4677,0,0,13,9
"G3901350","1820","Ohio","390","Preble","1350","Preble","24","1350",10237,0,5277,4928,0,0,20,12
"G3901390","1820","Ohio","390","Richland","1390","Richland","24","1390",9169,0,4897,4242,0,0,15,15
"G3901410","1820","Ohio","390","Ross","1410","Ross","24","1410",20619,0,10417,9700,0,0,233,269
"G3901430","1820","Ohio","390","Sandusky","1430","Sandusky","24","1430",852,0,470,379,0,0,3,0
"G3901450","1820","Ohio","390","Scioto","1450","Scioto","24","1450",5750,0,2958,2756,0,0,21,15
"G3901490","1820","Ohio","390","Shelby","1490","Shelby","24","1490",2106,0,1114,983,0,0,5,4
"G3901510","1820","Ohio","390","Stark","1510","Stark","24","1510",12406,0,6500,5880,0,0,15,11
"G3901550","1820","Ohio","390","Trumbull","1550","Trumbull","24","1550",15546,0,8140,7352,0,0,38,12
"G3901570","1820","Ohio","390","Tuscarawas","1570","Tuscarawas","24","1570",8328,0,4299,4025,0,0,2,2
"G3901590","1820","Ohio","390","Union","1590","Union","24","1590",1996,0,1010,978,0,0,2,6
"G3901650","1820","Ohio","390","Warren","1650","Warren","24","1650",17837,0,9195,8455,0,0,121,66
"G3901670","1820","Ohio","390","Washington","1670","Washington","24","1670",10425,0,5359,4967,0,0,52,47
"G3901690","1820","Ohio","390","Wayne","1690","Wayne","24","1690",11933,0,6164,5769,0,0,0,0
"G3901730","1820","Ohio","390","Wood","1730","Wood","24","1730",733,0,421,311,0,0,1,0
"G4200010","1820","Pennsylvania","420","Adams","0010","Adams","14","10",19370,0,9500,9241,10,13,314,292
"G4200030","1820","Pennsylvania","420","Allegheny","0030","Allegheny","14","30",34921,7248,17875,16351,0,1,345,349
"G4200050","1820","Pennsylvania","420","Armstrong","0050","Armstrong","14","50",10324,0,5279,5003,0,0,22,20
"G4200070","1820","Pennsylvania","420","Beaver","0070","Beaver","14","70",15340,0,7802,7432,1,4,56,45
"G4200090","1820","Pennsylvania","420","Bedford","0090","Bedford","14","90",20248,0,10312,9590,2,3,171,170
