GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABA001,ABE001,ABB001,ABB002,ABB003,ABB004,ABB005,ABB006
"G1300390","1820","Georgia","130","Camden","0390","Camden","44","390",4342,0,903,905,1426,1056,31,20
"G1300510","1820","Georgia","130","Chatham","0510","Chatham","44","510",14737,7523,2508,2061,4622,4920,248,378
"G1300590","1820","Georgia","130","Clarke","0590","Clarke","44","590",8767,0,2757,2528,1701,1760,14,7
"G1300730","1820","Georgia","130","Columbia","0730","Columbia","44","730",12695,0,2663,2550,3763,3657,32,30
"G1300990","1820","Georgia","130","Early","0990","Early","44","990",768,0,318,233,107,109,0,1
"G1301030","1820","Georgia","130","Effingham","1030","Effingham","44","1030",3018,0,872,782,761,586,9,8
"G1301050","1820","Georgia","130","Elbert","1050","Elbert","44","1050",11788,0,3362,3267,2604,2555,0,0
"G1301070","1820","Georgia","130","Emanuel","1070","Emanuel","44","1070",2928,0,1272,1254,187,180,20,15
"G1301190","1820","Georgia","130","Franklin","1190","Franklin","44","1190",9040,0,3790,3450,866,908,12,14
"G1301270","1820","Georgia","130","Glynn","1270","Glynn","44","1270",3418,0,348,295,1417,1343,7,8
"G1301330","1820","Georgia","130","Greene","1330","Greene","44","1330",13589,0,3415,3184,3497,3440,25,28
"G1301350","1820","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",4589,0,2071,1979,239,299,0,1
"G1301370","1820","Georgia","130","Habersham","1370","Habersham","44","1370",3145,0,1494,1374,146,131,0,0
"G1301390","1820","Georgia","130","Hall","1390","Hall","44","1390",5086,0,2370,2311,182,217,3,3
"G1301410","1820","Georgia","130","Hancock","1410","Hancock","44","1410",12734,0,3030,2817,3617,3246,9,15
"G1301550","1820","Georgia","130","Irwin","1550","Irwin","44","1550",411,0,172,200,27,12,0,0
"G1301570","1820","Georgia","130","Jackson","1570","Jackson","44","1570",8355,0,3187,3159,967,1030,5,7
"G1301590","1820","Georgia","130","Jasper","1590","Jasper","44","1590",14614,0,4828,4258,2767,2727,22,12
"G1301630","1820","Georgia","130","Jefferson","1630","Jefferson","44","1630",7056,0,2010,1922,1571,1523,15,13
"G1301690","1820","Georgia","130","Jones","1690","Jones","44","1690",16570,0,5064,4556,3488,3398,40,24
"G1301750","1820","Georgia","130","Laurens","1750","Laurens","44","1750",5436,0,1787,1663,982,993,8,3
"G1301790","1820","Georgia","130","Liberty","1790","Liberty","44","1790",6695,0,867,774,2532,2505,4,13
"G1301810","1820","Georgia","130","Lincoln","1810","Lincoln","44","1810",6458,0,1766,1612,1564,1499,11,6
"G1301910","1820","Georgia","130","McIntosh","1910","Mcintosh","44","1910",5129,0,771,572,1890,1825,36,35
"G1301950","1820","Georgia","130","Madison","1950","Madison","44","1950",3735,0,1418,1411,433,471,2,0
"G1302090","1820","Georgia","130","Montgomery","2090","Montgomery","44","2090",1869,0,575,590,354,349,1,0
"G1302110","1820","Georgia","130","Morgan","2110","Morgan","44","2110",13520,0,3960,3503,3043,3002,10,2
"G1302210","1820","Georgia","130","Oglethorpe","2210","Oglethorpe","44","2210",14046,0,3461,3242,3705,3633,5,0
"G1302350","1820","Georgia","130","Pulaski","2350","Pulaski","44","2350",5283,0,1697,1540,1053,968,12,13
"G1302370","1820","Georgia","130","Putnam","2370","Putnam","44","2370",15475,0,4236,3972,3592,3649,21,5
"G1302410","1820","Georgia","130","Rabun","2410","Rabun","44","2410",524,0,256,253,9,6,0,0
"G1302450","1820","Georgia","130","Richmond","2450","Richmond","44","2450",8608,0,2136,1531,2549,2282,49,61
"G1302510","1820","Georgia","130","Screven","2510","Screven","44","2510",3941,0,1085,1005,967,866,12,6
"G1302670","1820","Georgia","130","Tattnall","2670","Tattnall","44","2670",2644,0,1062,1001,291,277,8,5
"G1302710","1820","Georgia","130","Telfair","2710","Telfair","44","2710",2104,0,746,677,332,314,14,21
"G1302890","1820","Georgia","130","Twiggs","2890","Twiggs","44","2890",10640,0,3680,3416,1807,1720,8,9
"G1302970","1820","Georgia","130","Walton","2970","Walton","44","2970",4192,0,1832,1724,281,350,3,2
"G1303010","1820","Georgia","130","Warren","3010","Warren","44","3010",10630,0,3300,3230,2078,1963,27,32
"G1303030","1820","Georgia","130","Washington","3030","Washington","44","3030",10627,0,3366,3331,2037,1861,21,11
"G1303050","1820","Georgia","130","Wayne","3050","Wayne","44","3050",1010,0,327,344,186,147,2,4
"G1303170","1820","Georgia","130","Wilkes","3170","Wilkes","44","3170",17607,0,4011,3827,4896,4809,35,28
"G1303190","1820","Georgia","130","Wilkinson","3190","Wilkinson","44","3190",6992,0,2862,2654,700,763,6,7
"G1700030","1820","Illinois","170","Alexander","0030","Alexander","21","30",626,0,293,333,0,0,0,0
"G1700050","1820","Illinois","170","Bond","0050","Bond","21","50",2931,0,1546,1336,16,11,10,12
"G1700230","1820","Illinois","170","Clark","0230","Clark","21","230",931,0,490,440,0,1,0,0
"G1700330","1820","Illinois","170","Crawford","0330","Crawford","21","330",3022,0,1535,1392,0,0,33,39
"G1700470","1820","Illinois","170","Edwards","0470","Edwards","21","470",3444,0,1861,1561,3,4,8,7
"G1700550","1820","Illinois","170","Franklin","0550","Franklin","21","550",1763,0,873,818,4,3,32,33
"G1700590","1820","Illinois","170","Gallatin","0590","Gallatin","21","590",3155,0,1609,1251,201,66,19,9
"G1700770","1820","Illinois","170","Jackson","0770","Jackson","21","770",1542,0,844,659,24,15,0,0
"G1700810","1820","Illinois","170","Jefferson","0810","Jefferson","21","810",691,0,387,302,0,1,1,0
"G1700870","1820","Illinois","170","Johnson","0870","Johnson","21","870",843,0,432,397,6,7,1,0
"G1701190","1820","Illinois","170","Madison","1190","Madison","21","1190",13550,0,7554,5869,56,54,12,5
"G1701330","1820","Illinois","170","Monroe","1330","Monroe","21","1330",1537,0,828,665,5,8,8,2
"G1701510","1820","Illinois","170","Pope","1510","Pope","21","1510",2610,0,1324,1252,0,0,14,20
"G1701570","1820","Illinois","170","Randolph","1570","Randolph","21","1570",3492,0,1751,1424,126,107,44,40
"G1701630","1820","Illinois","170","St Clair","1630","St Clair","21","1630",5253,0,2861,2207,58,40,40,42
"G1701810","1820","Illinois","170","Union","1810","Union","21","1810",2362,0,1254,1084,14,10,0,0
"G1701890","1820","Illinois","170","Washington","1890","Washington","21","1890",1517,0,839,645,11,15,5,2
"G1701910","1820","Illinois","170","Wayne","1910","Wayne","21","1910",1114,0,574,537,2,1,0,0
"G1701930","1820","Illinois","170","White","1930","White","21","1930",4828,0,2546,2215,22,26,10,9
"G1800190","1820","Indiana","180","Clark","0190","Clark","22","190",8709,0,4478,4093,0,0,68,70
"G1800250","1820","Indiana","180","Crawford","0250","Crawford","22","250",2583,0,1380,1203,0,0,0,0
"G1800270","1820","Indiana","180","Daviess","0270","Daviess","22","270",3432,0,1810,1590,0,0,15,17
"G1800290","1820","Indiana","180","Dearborn","0290","Dearborn","22","290",11468,0,6029,5367,0,0,43,29
"G1800350","1820","Indiana","180","Delaware","0350","Delaware","22","350",3677,0,1915,1759,0,0,3,0
"G1800370","1820","Indiana","180","Dubois","0370","Dubois","22","370",1168,0,612,548,0,0,3,5
"G1800410","1820","Indiana","180","Fayette","0410","Fayette","22","410",5950,0,3100,2841,0,0,5,4
"G1800430","1820","Indiana","180","Floyd","0430","Floyd","22","430",2776,0,1431,1276,0,0,36,33
"G1800470","1820","Indiana","180","Franklin","0470","Franklin","22","470",10763,0,5491,5207,0,0,31,34
"G1800510","1820","Indiana","180","Gibson","0510","Gibson","22","510",3876,0,2043,1758,12,18,24,21
"G1800610","1820","Indiana","180","Harrison","0610","Harrison","22","610",7875,0,4038,3768,0,0,36,33
"G1800710","1820","Indiana","180","Jackson","0710","Jackson","22","710",4010,0,2107,1867,0,0,19,17
"G1800770","1820","Indiana","180","Jefferson","0770","Jefferson","22","770",8038,0,4134,3792,0,0,54,58
"G1800790","1820","Indiana","180","Jennings","0790","Jennings","22","790",2000,0,1041,914,0,0,21,24
"G1800830","1820","Indiana","180","Knox","0830","Knox","22","830",5437,0,2840,2313,65,53,92,74
"G1800930","1820","Indiana","180","Lawrence","0930","Lawrence","22","930",4116,0,2151,1950,0,0,8,7
"G1801010","1820","Indiana","180","Martin","1010","Martin","22","1010",1032,0,606,422,0,0,4,0
"G1801050","1820","Indiana","180","Monroe","1050","Monroe","22","1050",2679,0,1418,1253,0,0,6,2
"G1801170","1820","Indiana","180","Orange","1170","Orange","22","1170",5368,0,2733,2539,0,0,49,47
