GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,STATEICP,COUNTYICP,ABN001,ABU001,ABO001,ABO002,ABO003,ABO004,ABO005,ABO006
"G0550295","1830","Arkansas Territory","055","Miller","0295","Miller","42","895",356,0,171,130,29,26,0,0
"G0550315","1830","Arkansas Territory","055","Monroe","0315","Monroe","42","950",461,0,213,173,33,42,0,0
"G0550335","1830","Arkansas Territory","055","Phillips","0335","Phillips","42","1070",1152,0,574,441,58,68,8,3
"G0550355","1830","Arkansas Territory","055","Pope","0355","Pope","42","1150",1483,0,698,574,101,110,0,0
"G0550375","1830","Arkansas Territory","055","Pulaski","0375","Pulaski","42","1190",2395,0,1063,865,223,216,13,15
"G0550395","1830","Arkansas Territory","055","St Francis","0395","St Francis","42","1230",1505,0,755,613,67,69,1,0
"G0550415","1830","Arkansas Territory","055","Sevier","0415","Sevier","42","1330",634,0,283,285,37,29,0,0
"G0550435","1830","Arkansas Territory","055","Union","0435","Union","42","1390",640,0,269,193,89,85,4,0
"G0550455","1830","Arkansas Territory","055","Washington","0455","Washington","42","1430",2182,0,1080,927,85,85,3,2
"G0900010","1830","Connecticut","090","Fairfield","0010","Fairfield","1","10",47010,0,22731,22883,2,6,686,702
"G0900030","1830","Connecticut","090","Hartford","0030","Hartford","1","30",51131,7074,24816,25173,0,1,553,588
"G0900050","1830","Connecticut","090","Litchfield","0050","Litchfield","1","50",42858,0,20927,20845,2,0,535,549
"G0900070","1830","Connecticut","090","Middlesex","0070","Middlesex","1","70",24844,3123,11777,12545,0,2,236,284
"G0900090","1830","Connecticut","090","New Haven","0090","New Haven","1","90",43847,10180,21070,21600,3,6,566,602
"G0900110","1830","Connecticut","090","New London","0110","New London","1","110",42201,7470,19866,20502,1,1,833,998
"G0900130","1830","Connecticut","090","Tolland","0130","Tolland","1","130",18702,0,8988,9448,0,1,139,126
"G0900150","1830","Connecticut","090","Windham","0150","Windham","1","150",27082,0,12872,13560,0,0,302,348
"G1000010","1830","Delaware","100","Kent","0010","Kent","11","10",19913,0,6914,6740,303,285,2828,2843
"G1000030","1830","Delaware","100","New Castle","0030","New Castle","11","30",29720,0,11587,11639,453,333,2854,2854
"G1000050","1830","Delaware","100","Sussex","0050","Sussex","11","50",27115,0,10344,10377,1050,868,2200,2276
"G1100005","1830","District Of Columbia","110","Alexandria","0005","Alexandria","98","33",8241,8241,2602,3007,532,729,565,806
"G1100017","1830","District Of Columbia","110","Georgetown","0017","Georgetown","98","5",8441,8441,3050,3007,514,662,499,709
"G1100035","1830","District Of Columbia","110","Rural Alexandria County","0035","Rural Alexandria County","98","35",1332,0,401,401,179,174,76,101
"G1100075","1830","District Of Columbia","110","Rural Washington county","0075","Rural Washington county","98","7",2994,0,1015,713,606,393,163,104
"G1100115","1830","District Of Columbia","110","Washington City","0115","Washington City","98","3",18826,18826,6579,6788,1021,1309,1342,1787
"G1250015","1830","Florida Territory","125","Alachua","0015","Alachua","43","10",2204,0,901,691,295,302,11,4
"G1250075","1830","Florida Territory","125","Duval","0075","Duval","43","310",1970,0,479,387,524,494,40,46
"G1250095","1830","Florida Territory","125","Escambia","0095","Escambia","43","330",2518,0,775,544,454,431,130,184
"G1250097","1830","Florida Territory","125","Escambia (part) and Walton (part)","0097","Escambia (part) and Walton (part)","43","8010",868,0,316,190,198,151,6,7
"G1250135","1830","Florida Territory","125","Gadsden","0135","Gadsden","43","390",4895,0,1278,1110,1280,1221,3,3
"G1250155","1830","Florida Territory","125","Hamilton","0155","Hamilton","43","470",553,0,256,236,28,33,0,0
"G1250195","1830","Florida Territory","125","Jackson","0195","Jackson","43","8050",3907,0,1186,854,968,886,8,5
"G1250215","1830","Florida Territory","125","Jefferson","0215","Jefferson","43","650",3312,0,928,767,874,736,4,3
"G1250235","1830","Florida Territory","125","Leon","0235","Leon","43","730",6494,0,1856,1480,1623,1529,4,2
"G1250255","1830","Florida Territory","125","Madison","0255","Madison","43","790",525,0,138,124,133,130,0,0
"G1250275","1830","Florida Territory","125","Monroe","0275","Monroe","43","870",517,0,276,92,42,24,38,45
"G1250295","1830","Florida Territory","125","Mosquito","0295","Mosquito","43","950",733,0,35,14,342,315,11,16
"G1250315","1830","Florida Territory","125","Nassau","0315","Nassau","43","890",1511,0,359,313,400,393,20,26
"G1250355","1830","Florida Territory","125","St Johns","0355","St Johns","43","1090",2538,0,689,647,497,533,71,101
"G1250375","1830","Florida Territory","125","Walton","0375","Walton","43","8030",1207,0,453,429,145,135,30,15
"G1250395","1830","Florida Territory","125","Washington","0395","Washington","43","8070",978,0,311,271,182,203,7,4
"G1300010","1830","Georgia","130","Appling","0010","Appling","44","10",1468,0,652,632,88,91,5,0
"G1300070","1830","Georgia","130","Baker","0070","Baker","44","70",1253,0,494,483,140,135,0,1
"G1300090","1830","Georgia","130","Baldwin","0090","Baldwin","44","90",7295,0,1514,1212,2308,2234,16,11
"G1300210","1830","Georgia","130","Bibb","0210","Bibb","44","210",7154,0,2224,1915,1647,1341,13,14
"G1300290","1830","Georgia","130","Bryan","0290","Bryan","44","290",3139,0,385,338,1170,1232,9,5
"G1300310","1830","Georgia","130","Bulloch","0310","Bulloch","44","310",2587,0,1000,933,326,324,3,1
"G1300330","1830","Georgia","130","Burke","0330","Burke","44","330",11833,0,2654,2412,3341,3301,56,69
"G1300350","1830","Georgia","130","Butts","0350","Butts","44","350",4944,0,1705,1549,824,859,3,4
"G1300390","1830","Georgia","130","Camden","0390","Camden","44","390",4578,0,752,706,1523,1563,20,14
"G1300395","1830","Georgia","130","Campbell","0395","Campbell","44","410",3323,0,1426,1268,305,313,4,7
"G1300450","1830","Georgia","130","Carroll","0450","Carroll","44","450",3419,0,1430,1294,244,243,111,97
"G1300510","1830","Georgia","130","Chatham","0510","Chatham","44","510",14127,7303,2209,2017,4536,4942,184,239
"G1300590","1830","Georgia","130","Clarke","0590","Clarke","44","590",10176,0,2737,2701,2298,2411,16,13
"G1300730","1830","Georgia","130","Columbia","0730","Columbia","44","730",12606,0,2264,2203,4091,3941,53,54
"G1300770","1830","Georgia","130","Coweta","0770","Coweta","44","770",5003,0,1939,1692,665,707,0,0
"G1300790","1830","Georgia","130","Crawford","0790","Crawford","44","790",5313,0,1919,1672,864,854,4,0
"G1300870","1830","Georgia","130","Decatur","0870","Decatur","44","870",3854,0,1363,1178,654,654,2,3
"G1300890","1830","Georgia","130","DeKalb","0890","De Kalb","44","890",10042,0,4293,4083,778,870,9,9
"G1300930","1830","Georgia","130","Dooly","0930","Dooly","44","930",2135,0,914,873,166,170,5,7
"G1300990","1830","Georgia","130","Early","0990","Early","44","990",2051,0,776,729,246,294,3,3
"G1301030","1830","Georgia","130","Effingham","1030","Effingham","44","1030",2924,0,889,818,645,567,1,4
"G1301050","1830","Georgia","130","Elbert","1050","Elbert","44","1050",12354,0,3336,3165,2837,2928,45,43
"G1301070","1830","Georgia","130","Emanuel","1070","Emanuel","44","1070",2673,0,1081,1098,233,232,12,17
"G1301130","1830","Georgia","130","Fayette","1130","Fayette","44","1130",5504,0,2200,2066,565,622,24,27
"G1301190","1830","Georgia","130","Franklin","1190","Franklin","44","1190",10107,0,3906,3788,1128,1242,29,14
"G1301270","1830","Georgia","130","Glynn","1270","Glynn","44","1270",4567,0,338,259,1992,1976,2,0
"G1301330","1830","Georgia","130","Greene","1330","Greene","44","1330",12549,0,2605,2421,3822,3648,23,30
"G1301350","1830","Georgia","130","Gwinnett","1350","Gwinnett","44","1350",13289,0,5655,5294,1135,1197,6,2
