year,NHGISNAM,NHGISST,NHGISCTY,ICPSRST,ICPSRCTY,ICPSRNAM,state,ICPSRSTI,ICPSRCTYI,ICPSRFIP,STATE,COUNTY,PID,longitude,latitude,GISJOIN,GISJOIN2,area,SHAPE_LEN,border,longitude_miles,distance,distance_1820,census_pop,urban_census_pop,rural_census_pop,enslaved,slavery_legal,area_sq_miles,ruralpopden,urbanpopden
1820,Middlesex,510,1190,40,1190,MIDDLESEX,Virginia,40,1190,0,510,1190,264,1686185.16794011,187894.14363504,G5101190,5101190,344304245.997,219361.901622,0,1047.7468881358552,-118.9704399842234,-118.9704399842234,4057,0,4057,2166,1,132.93661257477095,30.51830433634765,0
1820,Pasquotank,370,1390,47,1390,PASQUOTANK,North Carolina,47,1390,0,370,1390,662,1741748.3283953,46572.14005232,G3701390,3701390,589907613.888,192890.2355,0,1082.2722353923712,-189.7117357650432,-189.7117357650432,8008,0,8008,2616,1,227.76460306278048,35.15910678092809,0
1820,Northampton,420,0950,14,950,NORTHAMPTON,Pennsylvania,14,950,0,420,0950,112,1702745.189533,564401.68943611,G4200950,4200950,2945271189.81,287920.838803,0,1058.0368084965055,73.21116951607709,73.21116951607709,31765,0,31765,0,0,1137.1755638785187,27.93324180451117,0
1820,Hocking,390,0730,24,730,HOCKING,Ohio,24,730,0,390,0730,455,1146620.83582316,299637.70066933,G3900730,3900730,1193719490.06,158169.989832,0,712.4771557996053,38.58554373038203,38.58554373038203,2130,0,2130,0,0,460.8976718063537,4.621416271538296,0
1820,Marion,280,0910,46,910,MARION,Mississippi,46,910,0,280,0910,363,598599.79753711,-682852.72121384,G2800910,2800910,3076702828.7,247303.286973,0,371.9526698686608,-400.8712158461012,-400.8712158461012,3116,0,3116,1232,1,1187.9216033547189,2.6230687203602847,0
1820,Indian Lands - no population,180,0695,NA,NA,Indian Lands,Indiana,0,0,0,180,0695,216,814605.2956843,452299.78906012,G1800695,1800695,27921357103.8,1022688.72154,0,506.1722637821994,159.38248326130278,159.38248326130278,NA,NA,NA,NA,0,10780.496247211633,NA,NA
1820,Cumberland,230,0050,2,50,CUMBERLAND,Maine,2,50,0,230,0050,316,2025003.15945866,989951.99015494,G2300050,2300050,2959536595.86,1000891.35909,0,1258.2786274771956,383.38220839171106,383.38220839171106,49445,8581,40864,0,0,1142.6834679469082,35.76143450593672,7.509516187731084
1820,Muskingum,390,1190,24,1190,MUSKINGUM,Ohio,24,1190,0,390,1190,467,1185669.57822618,364147.35602262,G3901190,3901190,1742000995.16,180569.548991,0,736.7409194219384,46.50156134757085,46.50156134757085,17824,0,17824,0,0,672.5903444143647,26.500529108129918,0
1820,Moore,370,1250,47,1250,MOORE,North Carolina,47,1250,0,370,1250,738,1485771.32422794,-111719.99476884,G3701250,3701250,2220760581.02,214675.966143,0,923.2154991275576,-268.22193786899044,-268.22193786899044,7128,0,7128,1296,1,857.4404539377981,8.3131137180018,0
1820,Carteret,370,0310,47,310,CARTERET,North Carolina,47,310,0,370,0310,714,1740470.48900995,-123060.18749911,G3700310,3700310,1211361519.2,1474561.6309,0,1081.4782228100082,-294.2945460209367,-294.2945460209367,5609,0,5609,1329,1,467.7092973383764,11.992491985768723,0
1820,Daviess,180,0270,22,270,DAVIESS,Indiana,22,270,0,180,0270,208,776169.86142101,186174.76313933,G1800270,1800270,2041218569.98,327239.077354,0,482.28959216985925,54.45460714222359,54.45460714222359,3432,0,3432,0,0,788.1188959262025,4.354672902451719,0
1820,Cooper,295,0035,NA,NA,NA,Missouri Territory,34,530,0,295,0035,677,230066.45078402,132734.10656674,G2950035,2950035,18858279947.1,962606.48501,0,142.95666481747844,128.39816572615405,128.39816572615405,6959,0,6959,637,0,7281.222593973031,0.955746086620158,0
1820,Greenville,450,0450,48,450,GREENVILLE,South Carolina,48,450,0,450,0450,141,1231165.33770447,-203408.35226884,G4500450,4500450,2058973770.4,308040.507552,0,765.0106737307063,-244.44544149666294,-244.44544149666294,14530,0,14530,3423,1,794.9742171337183,18.27732231667582,0
1820,Norfolk,510,1290,40,1290,NORFOLK,Virginia,40,1290,0,510,1290,271,1730673.63148109,91482.62536176,G5101290,5101290,1086479294.35,328581.358399,0,1075.3907377671212,-163.69214728482564,-163.69214728482564,15478,0,15478,5924,1,419.4920007602083,36.897008696114796,0
1820,King And Queen,510,0970,40,970,KING AND QUEEN,Virginia,40,970,0,510,0970,607,1656582.1507552401,192048.18687053,G5100970,5100970,829598768.546,233979.512163,0,1029.3524260538704,-128.03511067618584,-128.03511067618584,11798,0,11798,6041,1,320.30987525976553,36.83308230953552,0
1820,Berkshire,250,0030,3,30,BERKSHIRE,Massachusetts,3,30,0,250,0030,582,1847538.2061476,768849.53082178,G2500030,2500030,2495971708.06,244242.118185,0,1148.0070178579595,212.50870577225794,212.50870577225794,35720,0,35720,0,0,963.7000641428414,37.06547434109698,0
1820,Cumberland,370,0510,47,510,CUMBERLAND,North Carolina,47,510,0,370,0510,718,1533302.55170727,-120669.25521845,G3700510,3700510,3891404423.98,304885.683837,0,952.7500346148928,-293.66840754611354,-293.66840754611354,14446,3532,10914,4751,1,1502.479647860301,7.263991905343115,2.350780594619011
1820,Autauga,010,0010,41,10,AUTAUGA,Alabama,41,10,0,010,0010,1,881270.02669,-507137.07914993,G0100010,0100010,2132799313.02,317640.56471,0,547.5958071673924,-330.7138666694782,-330.7138666694782,3853,0,3853,1647,1,823.4784184948676,4.678932578515431,0
1820,Rockingham,510,1650,40,1650,ROCKINGHAM,Virginia,40,1650,0,510,1650,287,1473280.31072794,246487.92061485,G5101650,5101650,2453751478.25,219402.311151,0,915.4539431768098,-84.47624086556242,-84.47624086556242,14784,0,14784,1871,1,947.3987422790423,15.60483388909291,0
1820,Orange,370,1350,47,1350,ORANGE,North Carolina,47,1350,0,370,1350,743,1493400.96853686,-28406.87010409,G3701350,3701350,2581694014.22,204444.412186,0,927.956340308138,-238.73152049954624,-238.73152049954624,23492,0,23492,6153,1,996.7976315864537,23.567471727045838,0
1820,Washington,230,0290,2,290,WASHINGTON,Maine,2,290,0,230,0290,322,2179398.91669211,1215182.71400896,G2300290,2300290,10389324004.5,1988116.41808,0,1354.2157032257303,552.3920779438321,552.3920779438321,12744,0,12744,0,0,4011.340423934297,3.176992888452176,0
1820,Currituck,370,0530,47,530,CURRITUCK,North Carolina,47,530,0,370,0530,719,1776025.96754508,46469.41825824,G3700530,3700530,928194956.002,1351981.36011,0,1103.5713728979508,-187.48803617260438,-187.48803617260438,8098,0,8098,1854,1,358.3780760605827,22.59624832248683,0
1820,Catahoula,220,0250,45,250,CATAHOULA,Louisiana,45,250,0,220,0250,425,386876.89336941,-617981.68843497,G2200250,2200250,4812207476.75,595955.110545,0,240.3941564820262,-383.18851292933164,-383.18851292933164,2287,0,2287,751,1,1858.0036941272717,1.2308909865080937,0
1820,Harford,240,0250,52,230,HARFORD,Maryland,52,230,0,240,0250,331,1663716.54012456,404036.20312955,G2400250,2400250,1156992510.66,274945.125004,1,1033.78553008217,-11.075708648056157,-11.075708648056157,15924,0,15924,3320,1,446.7173057832698,35.646704960487284,0
1820,Butler,420,0190,14,190,BUTLER,Pennsylvania,14,190,0,420,0190,491,1337626.41112549,495778.81214462,G4200190,4200190,2058483958.58,180434.901152,0,831.1625178491919,36.788835552714474,36.788835552714474,10193,0,10193,0,0,794.7850997327366,12.824850394688593,0
1820,Somerset,230,0250,2,250,SOMERSET,Maine,2,250,0,230,0250,321,2016236.08513496,1204563.32022219,G2300250,2300250,19070160559.9,819647.321453,0,1252.8310200522449,502.79644994319784,502.79644994319784,21787,0,21787,0,0,7363.030155928408,2.9589719909619014,0
1820,St Bernard,220,0870,45,870,ST BERNARD,Louisiana,45,870,0,220,0870,307,622383.15507191,-831219.07837449,G2200870,2200870,1256698137.68,2126646.30933,0,386.7309630954662,-493.22162910553635,-493.22162910553635,2635,0,2635,1923,1,485.2138635945198,5.430595037989266,0
1820,Fairfield,450,0390,48,390,FAIRFIELD,South Carolina,48,390,0,450,0390,139,1352986.79596379,-242525.63270186,G4500390,4500390,1952757018.14,193062.334888,0,840.7070184893907,-290.27733191098457,-290.27733191098457,17174,0,17174,7748,1,753.963699812764,22.778284954918803,0
1820,Campbell,510,0310,40,310,CAMPBELL,Virginia,40,310,0,510,0310,555,1480184.80465472,103029.91732893,G5100310,5100310,1710036513.02,225480.404141,0,919.7441967998886,-172.9206503313492,-172.9206503313492,16569,0,16569,7445,1,660.2487888634192,25.095085791103973,0
1820,Oswego,360,0750,13,750,OSWEGO,New York,13,750,0,360,0750,687,1588762.12319244,830096.04075803,G3600750,3600750,2628523169.57,297328.65595,0,987.2110146696045,251.0650093905683,251.0650093905683,12374,0,12374,0,0,1014.8784695498084,12.192592878129538,0
1820,Claiborne,470,0250,54,250,CLAIBORNE,Tennessee,54,250,0,470,0250,161,1095186.18010554,-42752.58334903,G4700250,4700250,1532297415.36,227335.501933,0,680.5171424540309,-145.9024332559133,-145.9024332559133,5508,0,5508,377,1,591.6233395995066,9.309977533558065,0
1820,Richmond,360,0850,13,850,RICHMOND,New York,13,850,0,360,0850,691,1817708.90070715,555133.13065329,G3600850,3600850,152308395.516,79066.2433707,0,1129.4719467728155,85.72109571892273,85.72109571892273,6135,0,6135,532,0,58.80660027286417,104.32502425804992,0
1820,Bergen,340,0030,12,30,BERGEN,New Jersey,12,30,0,340,0030,374,1806393.6035857,597729.24695505,G3400030,3400030,1186294740.77,314401.202306,0,1122.4409471099405,104.46931990508686,104.46931990508686,18178,0,18178,1683,0,458.0309600788482,39.68727353467707,0
1820,Knox,210,1210,51,1210,KNOX,Kentucky,51,1210,0,210,1210,98,1061493.98574591,5580.746376,G2101210,2101210,1961890319.39,262911.980439,0,659.5817834756957,-117.91354977327288,-117.91354977327288,3661,0,3661,337,1,757.4900871400075,4.833066547210583,0
1820,King William,510,1010,40,1010,KING WILLIAM,Virginia,40,1010,0,510,1010,253,1640538.08748021,186991.92358439,G5101010,5101010,737083381.008,253513.721464,0,1019.3831073283337,-137.04624630161393,-137.04624630161393,9697,0,9697,6010,1,284.5894844329528,34.073641263735944,0
1820,Madison,130,1950,44,1950,MADISON,Georgia,44,1950,0,130,1950,173,1167194.08910792,-298865.4066778,G1301950,1301950,693729103.99,132765.778303,0,725.2607827213573,-299.70023877020674,-299.70023877020674,3735,0,3735,904,1,267.85030449425585,13.944355997848412,0
1820,Windham,090,0150,1,150,WINDHAM,Connecticut,1,150,0,090,0150,42,1956879.14263953,728767.4677245,G0900150,0900150,1790216082.13,237143.025565,0,1215.9483259262965,223.98997695604905,223.98997695604905,31684,0,31684,12,0,691.2062935677935,45.83870299626031,0
1820,Buckingham,510,0290,40,290,BUCKINGHAM,Virginia,40,290,0,510,0290,553,1515880.09706535,144385.31774294,G5100290,5100290,1885593138.8,237264.373214,0,941.9242232023421,-151.63212551992368,-151.63212551992368,17569,0,17569,9939,1,728.0315810235056,24.132194890914707,0
1820,Philadelphia,420,1010,14,1010,PHILADELPHIA,Pennsylvania,14,1010,0,420,1010,115,1751285.62279412,474394.06476217,G4201010,4201010,352680036.054,185782.813586,0,1088.1984353836842,20.812176937077396,20.812176937077396,137097,108809,28288,7,0,136.170523195277,207.73952641301997,799.0642721109407
1820,Appling,130,0010,44,10,APPLING,Georgia,44,10,0,130,0010,590,1280143.28303167,-607815.06714737,G1300010,1300010,12080977798.2,505294.191872,0,795.4441580120035,-497.3266098753182,-497.3266098753182,1264,0,1264,78,1,4664.491605188385,0.2709834440679524,0
1820,Stafford,510,1790,40,1790,STAFFORD,Virginia,40,1790,0,510,1790,292,1593260.32987639,259160.67648988,G5101790,5101790,709970985.18,169741.416839,0,990.0060707197405,-90.45024030621462,-90.45024030621462,9517,0,9517,4368,1,274.1213298805048,34.71820308236743,0
1820,Rockland,360,0870,13,870,ROCKLAND,New York,13,870,0,360,0870,667,1812583.90283524,619785.83424778,G3600870,3600870,463273475.041,112281.864465,0,1126.287420734933,118.494707773625,118.494707773625,8837,0,8837,124,0,178.87088870879,49.40435005266307,0
1820,New Castle,100,0030,11,30,NEW CASTLE,Delaware,11,30,0,100,0030,44,1719230.0410041001,416854.77953903,G1000030,1000030,1144705776.61,278856.924454,1,1068.2800203089582,-4.097264769458678,-4.097264769458678,27899,0,27899,1195,1,441.97337124512774,63.12371245670958,0
1820,Hardin,470,0710,54,710,HARDIN,Tennessee,54,710,0,470,0710,169,649092.03205929,-226599.84327494,G4700710,4700710,7893468721.33,406884.251337,0,403.3270898324348,-120.97810704648099,-120.97810704648099,1462,0,1462,136,1,3047.6853116927928,0.4797083197503594,0
1820,Niagara,360,0630,13,630,NIAGARA,New York,13,630,0,360,0630,682,1394220.71438503,732679.33501791,G3600630,3600630,4067566980.52,425716.303729,0,866.3285875394137,182.395549053623,182.395549053623,22990,0,22990,15,0,1570.4963911947507,14.638683749225569,0
1820,Broome,360,0070,13,70,BROOME,New York,13,70,0,360,0070,387,1636833.66074648,696763.1808155,G3600070,3600070,2429328639.99,247839.220371,0,1017.0812832722402,163.0232861759414,163.0232861759414,14343,0,14343,25,0,937.9690317091232,15.291549630231243,0
1820,Lincoln,370,1090,47,1090,LINCOLN,North Carolina,47,1090,0,370,1090,734,1322696.98962842,-125352.16327492,G3701090,3701090,3266767201.29,266194.170856,0,821.8858054141439,-215.9758770636419,-215.9758770636419,18147,0,18147,3329,1,1261.3058678737336,14.387469734515381,0
1820,Monroe,265,0255,NA,NA,NA,Michigan Territory,23,1150,0,265,0255,764,999873.88131519,552009.46545273,G2650255,2650255,4403458804.07,473461.243667,0,621.2928257197901,186.142944886119,186.142944886119,1831,0,1831,0,0,1700.1849493041639,1.0769416590526666,0
1820,Oglethorpe,130,2210,44,2210,OGLETHORPE,Georgia,44,2210,0,130,2210,176,1182716.53574088,-324720.65420491,G1302210,1302210,1188941166.45,194432.334718,0,734.90598389212,-316.06645665701535,-316.06645665701535,14046,0,14046,7338,1,459.0527507463184,30.59779072702278,0
1820,Penobscot,230,0190,2,190,PENOBSCOT,Maine,2,190,0,230,0190,320,2086090.85808915,1260249.44963645,G2300190,2300190,26279634340.3,876135.476233,0,1296.2367636062581,551.1808869070429,551.1808869070429,13870,0,13870,0,0,10146.623544496013,1.366957189174887,0
1820,St Clair,010,1150,41,1150,ST CLAIR,Alabama,41,1150,0,010,1150,22,890070.59467417,-376481.55961532,G0101150,0101150,2195207088.8,314729.485365,0,553.0642265880819,-261.72474216576546,-261.72474216576546,4166,0,4166,553,1,847.5741954333586,4.915203910697109,0
1820,Lee,510,1050,40,1050,LEE,Virginia,40,1050,0,510,1050,255,1139526.19954497,-7892.71114939,G5101050,5101050,1331597716.01,246429.22282,0,708.0687531969361,-119.46827688289173,-119.46827688289173,4256,0,4256,366,1,514.1327524616518,8.278017651321383,0
1820,Monroe (W.Va.),510,1197,40,1205,MONROE,Virginia,40,1205,0,510,1197,265,1343317.36753186,118175.41768512,G5101197,5101197,1792917744.66,250445.524282,0,834.6987142163888,-112.04479312294168,-112.04479312294168,6620,0,6620,501,1,692.2494113022798,9.56302727299726,0
